#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.155829248294816E-01  0.960013663801466E-10  0.641728052302530E+02  0.395347924344460E-06
     0.100000000000000E+00  0.154754259834072E-01  0.118867301510749E-02  0.642395740039525E+02  0.493426469826240E+01
     0.200000000000000E+00  0.151521915149483E-01  0.239646081102924E-02  0.643864662910859E+02  0.101833218696463E+02
     0.300000000000000E+00  0.146110685451442E-01  0.364365254743582E-02  0.644341989919405E+02  0.160683547937359E+02
     0.400000000000000E+00  0.138487011403345E-01  0.495300175214818E-02  0.640198834541729E+02  0.228967750627032E+02
     0.500000000000000E+00  0.128609922178679E-01  0.635125422589424E-02  0.625098193891499E+02  0.308697608885610E+02
     0.600000000000000E+00  0.116440206689487E-01  0.787103543549452E-02  0.589461978452644E+02  0.398459969471730E+02
     0.700000000000000E+00  0.101957958167812E-01  0.955318371809426E-02  0.522278590959095E+02  0.489360852366970E+02
     0.800000000000000E+00  0.851951695274322E-02  0.114494591374875E-01  0.418295351733877E+02  0.562151066033843E+02
     0.900000000000000E+00  0.662939436898402E-02  0.136250828045891E-01  0.288747062397250E+02  0.593448272311386E+02
     0.100000000000000E+01  0.456034030919705E-02  0.161593913957734E-01  0.161758573414657E+02  0.573185315612910E+02
     0.110000000000000E+01  0.238198125602396E-02  0.191406661103083E-01  0.640250532752593E+01  0.514480189269849E+02
     0.120000000000000E+01  0.213261920034458E-03  0.226489266576313E-01  0.415699556227909E+00  0.441482884478136E+02
     0.130000000000000E+01  -.177473182794397E-02  0.267236579000605E-01  -.247417120934385E+01  0.372557160150123E+02
     0.140000000000000E+01  -.338373346729304E-02  0.313296594776456E-01  -.340759612980174E+01  0.315506015517936E+02
     0.150000000000000E+01  -.443573827948240E-02  0.363505584130539E-01  -.330768807327138E+01  0.271062675351628E+02
     0.160000000000000E+01  -.480645829726933E-02  0.416185711574820E-01  -.273839889547103E+01  0.237114819769640E+02
     0.170000000000000E+01  -.442309729880797E-02  0.469469801352130E-01  -.198917595109428E+01  0.211132149154020E+02
     0.180000000000000E+01  -.324952276286083E-02  0.521364242623797E-01  -.119083959724498E+01  0.191062266681111E+02
     0.190000000000000E+01  -.128854217273844E-02  0.569646146650243E-01  -.396886340458067E+00  0.175457799739355E+02
     0.200000000000000E+01  0.139470267869246E-02  0.611850268906301E-01  0.372362315055270E+00  0.163353800116546E+02
     0.210000000000000E+01  0.464440305208302E-02  0.645505543293376E-01  0.110888753381296E+01  0.154119494354426E+02
     0.220000000000000E+01  0.820308132518832E-02  0.668612158071720E-01  0.180775686495548E+01  0.147345634016264E+02
     0.230000000000000E+01  0.117343305532110E-01  0.680185841957589E-01  0.246301070580702E+01  0.142769543015938E+02
     0.240000000000000E+01  0.148788066864285E-01  0.680606826278661E-01  0.306549739219037E+01  0.140226195220836E+02
     0.250000000000000E+01  0.173230389632172E-01  0.671579362254424E-01  0.360125670252314E+01  0.139613475714644E+02
     0.260000000000000E+01  0.188523740586607E-01  0.655713634198456E-01  0.404990557275709E+01  0.140861744680542E+02
     0.270000000000000E+01  0.193697342968969E-01  0.635934009194782E-01  0.438297977788334E+01  0.143899026163489E+02
     0.280000000000000E+01  0.188814128460423E-01  0.614957969241297E-01  0.456266655383126E+01  0.148603718437171E+02
     0.290000000000000E+01  0.174646446950570E-01  0.594987592937657E-01  0.454203304000076E+01  0.154738521893791E+02
     0.300000000000000E+01  0.152330612880067E-01  0.577621507851389E-01  0.426874292447177E+01  0.161866198661239E+02
     0.310000000000000E+01  0.123098456318046E-01  0.563916776010075E-01  0.369492648232241E+01  0.169265406880658E+02
     0.320000000000000E+01  0.881137141200938E-02  0.554518336646499E-01  0.279500158551634E+01  0.175895392176121E+02
     0.330000000000000E+01  0.483987286431664E-02  0.549797225721664E-01  0.158882607139672E+01  0.180486593490613E+02
     0.340000000000000E+01  0.482329934383574E-03  0.549967635884911E-01  0.159454414381593E+00  0.181814896935503E+02
     0.350000000000000E+01  -.418697954387404E-02  0.555173147692614E-01  -.135076795875092E+01  0.179105269467884E+02
     0.360000000000000E+01  -.910201773842956E-02  0.565542535984787E-01  -.277396489467851E+01  0.172356853870506E+02
     0.370000000000000E+01  -.141996450628949E-01  0.581218461541003E-01  -.396662625797340E+01  0.162361552063853E+02
     0.380000000000000E+01  -.194139757438065E-01  0.602361413775897E-01  -.484707739641276E+01  0.150391266153499E+02
     0.390000000000000E+01  -.246708659161075E-01  0.629128838406260E-01  -.540236057437138E+01  0.137764959055896E+02
     0.400000000000000E+01  -.298831322456083E-01  0.661627141326400E-01  -.566987882201463E+01  0.125533886001122E+02
     0.410000000000000E+01  -.349475456890285E-01  0.699833888224389E-01  -.571131122057032E+01  0.114370524726322E+02
     0.420000000000000E+01  -.397452894652868E-01  0.743491252228807E-01  -.559203640598799E+01  0.104606865516185E+02
     0.430000000000000E+01  -.441481382377886E-01  0.791982203358012E-01  -.536989456408049E+01  0.963316030622655E+01
     0.440000000000000E+01  -.480325069218495E-01  0.844219248886826E-01  -.509132654041872E+01  0.894851454408399E+01
     0.450000000000000E+01  -.513018511053940E-01  0.898597379266755E-01  -.479158648837670E+01  0.839288830365926E+01
     0.460000000000000E+01  -.539140779371994E-01  0.953073964219302E-01  -.449650162443865E+01  0.794875622896518E+01
     0.470000000000000E+01  -.559055203302912E-01  0.100541669915820E+00  -.422436827187059E+01  0.759719322678677E+01
     0.480000000000000E+01  -.573998715652955E-01  0.105359407231776E+00  -.398738980107217E+01  0.731898895218080E+01
     0.490000000000000E+01  -.585934317608643E-01  0.109619488294379E+00  -.379254780592230E+01  0.709528589337299E+01
     0.500000000000000E+01  -.597178968402938E-01  0.113271570963876E+00  -.364207336113102E+01  0.690820328593082E+01
     0.510000000000000E+01  -.609932129882311E-01  0.116359893374152E+00  -.353383146024730E+01  0.674167225779601E+01
     0.520000000000000E+01  -.625875515193888E-01  0.119001971469107E+00  -.346195536978078E+01  0.658245136837394E+01
     0.530000000000000E+01  -.645962632792689E-01  0.121352688405228E+00  -.341794502482747E+01  0.642106519058053E+01
     0.540000000000000E+01  -.670416500951219E-01  0.123567410242931E+00  -.339219732060638E+01  0.625230789137214E+01
     0.550000000000000E+01  -.698877410651928E-01  0.125773704393428E+00  -.337567778790217E+01  0.607504969758602E+01
     0.560000000000000E+01  -.730621581719382E-01  0.128054911733110E+00  -.336132175585718E+01  0.589133652115681E+01
     0.570000000000000E+01  -.764790706996497E-01  0.130444427619386E+00  -.334483926798466E+01  0.570503328295675E+01
     0.580000000000000E+01  -.800601220266350E-01  0.132928157274168E+00  -.332482243112315E+01  0.552038278040576E+01
     0.590000000000000E+01  -.837520712959565E-01  0.135453135885393E+00  -.330227105672077E+01  0.534079889911920E+01
     0.600000000000000E+01  -.875402967247010E-01  0.137941194229669E+00  -.327975892406354E+01  0.516806407674744E+01
     0.610000000000000E+01  -.914568345206241E-01  0.140306751998746E+00  -.326045400980363E+01  0.500196310701824E+01
     0.619999999999999E+01  -.955812355435175E-01  0.142477035131478E+00  -.324714397803451E+01  0.484031665843815E+01
     0.629999999999999E+01  -.100033055179628E+00  0.144411686947637E+00  -.324137030385463E+01  0.467937076160551E+01
     0.639999999999999E+01  -.104956519670237E+00  0.146117848716271E+00  -.324277196524367E+01  0.451450624437202E+01
     0.649999999999999E+01  -.110500236827606E+00  0.147657274545744E+00  -.324876736343146E+01  0.434120458280870E+01
     0.659999999999999E+01  -.116796505681064E+00  0.149144131880369E+00  -.325470858082659E+01  0.415612336157133E+01
     0.669999999999999E+01  -.123944761771384E+00  0.150734979487119E+00  -.325456664890569E+01  0.395802960973155E+01
     0.679999999999999E+01  -.132001881961809E+00  0.152614604775240E+00  -.324203771941033E+01  0.374829735652845E+01
     0.689999999999999E+01  -.140979420532541E+00  0.154981946792849E+00  -.321177132989783E+01  0.353077471506652E+01
     0.699999999999999E+01  -.150845629942427E+00  0.158039244867898E+00  -.316034107637060E+01  0.331105327628807E+01
     0.709999999999999E+01  -.161529094403109E+00  0.161985635182812E+00  -.308668116146361E+01  0.309540526054529E+01
     0.719999999999999E+01  -.172920952248694E+00  0.167014561619837E+00  -.299194390301948E+01  0.288974929212325E+01
     0.729999999999999E+01  -.184873522937328E+00  0.173313042130717E+00  -.287894898448404E+01  0.269892301889663E+01
     0.739999999999999E+01  -.197194221781353E+00  0.181060018374147E+00  -.275148490421548E+01  0.252636158814950E+01
     0.749999999999999E+01  -.209634785139389E+00  0.190420447405243E+00  -.261368204224821E+01  0.237412175431204E+01
     0.759999999999999E+01  -.221877251117235E+00  0.201531260095581E+00  -.246957341364340E+01  0.224311523350867E+01
     0.769999999999999E+01  -.233520327390124E+00  0.214474933988066E+00  -.232286328075602E+01  0.213341576886004E+01
     0.779999999999999E+01  -.244073248621335E+00  0.229236942124615E+00  -.217686729738667E+01  0.204454361747031E+01
     0.789999999999999E+01  -.252968996720811E+00  0.245646352524971E+00  -.203456865530509E+01  0.197567439336812E+01
     0.799999999999999E+01  -.259613221752369E+00  0.263306727194266E+00  -.189873657447226E+01  0.192574981294758E+01
     0.810000000000000E+01  -.263484600288230E+00  0.281538816283043E+00  -.177206079569727E+01  0.189348409074549E+01
     0.820000000000000E+01  -.264288625092915E+00  0.299374152826468E+00  -.165725876645713E+01  0.187726747243818E+01
     0.830000000000000E+01  -.262133936794397E+00  0.315646191760756E+00  -.155710748657249E+01  0.187497679357812E+01
     0.840000000000000E+01  -.257657799651932E+00  0.329201459042869E+00  -.147434261516190E+01  0.188372228861707E+01
     0.849999999999999E+01  -.252010300151640E+00  0.339188139633534E+00  -.141136551125850E+01  0.189959871409481E+01
     0.859999999999999E+01  -.246654998677626E+00  0.345307503026164E+00  -.136972752305106E+01  0.191756580384227E+01
     0.869999999999999E+01  -.243046907012430E+00  0.347903309642795E+00  -.134944708881714E+01  0.193163169265637E+01
     0.879999999999999E+01  -.242327648397473E+00  0.347846904258330E+00  -.134836098032199E+01  0.193549186784674E+01
     0.889999999999999E+01  -.245160038480845E+00  0.346289936791944E+00  -.136184765059551E+01  0.192361748581558E+01
     0.899999999999999E+01  -.251730574907877E+00  0.344408743239451E+00  -.138324397822977E+01  0.189250479529551E+01
     0.909999999999999E+01  -.261863378414272E+00  0.343230213523070E+00  -.140500166097020E+01  0.184156724401593E+01
     0.919999999999999E+01  -.275165513862507E+00  0.343560518162898E+00  -.142020991261456E+01  0.177321658745996E+01
     0.929999999999999E+01  -.291148242645474E+00  0.345990547859186E+00  -.142386961197329E+01  0.169207762564644E+01
     0.939999999999999E+01  -.309304027753709E+00  0.350939585737629E+00  -.141346002015592E+01  0.160372652607422E+01
     0.949999999999999E+01  -.329142422055861E+00  0.358707522399536E+00  -.138875248376149E+01  0.151349667892928E+01
     0.959999999999999E+01  -.350196669712667E+00  0.369519364941723E+00  -.135115982925416E+01  0.142571236457051E+01
     0.969999999999999E+01  -.372012840412102E+00  0.383555765008142E+00  -.130298305789608E+01  0.134341240213740E+01
     0.979999999999999E+01  -.394130329988988E+00  0.400968502395177E+00  -.124679628327135E+01  0.126842823415582E+01
     0.989999999999999E+01  -.416059697850806E+00  0.421881732683786E+00  -.118505184889421E+01  0.120163459694404E+01
     0.999999999999999E+01  -.437262129645640E+00  0.446380041217586E+00  -.111988326665683E+01  0.114323538408020E+01
     0.101000000000000E+02  -.457134371593117E+00  0.474484177385239E+00  -.105304521624937E+01  0.109301186747400E+01
     0.102000000000000E+02  -.475003464550123E+00  0.506115568344917E+00  -.985931799614569E+00  0.105050903909481E+01
     0.103000000000000E+02  -.490136523984949E+00  0.541051863253742E+00  -.919630875891916E+00  0.101516205089477E+01
     0.104000000000000E+02  -.501771481091224E+00  0.578878182591276E+00  -.854989306325669E+00  0.986374623572514E+00
     0.105000000000000E+02  -.509174155196161E+00  0.618942486420691E+00  -.792676335312357E+00  0.963562382140268E+00
     0.106000000000000E+02  -.511724065524879E+00  0.660327970620741E+00  -.733239809618308E+00  0.946171556279985E+00
     0.107000000000000E+02  -.509024940160110E+00  0.701859101112408E+00  -.677153673639963E+00  0.933680122915819E+00
     0.108000000000000E+02  -.501025855060130E+00  0.742158114135193E+00  -.624856416933707E+00  0.925585486882985E+00
     0.109000000000000E+02  -.488127417074014E+00  0.779762364566986E+00  -.576779784765139E+00  0.921380674535450E+00
     0.110000000000000E+02  -.471239348039713E+00  0.813298028682383E+00  -.533365671231674E+00  0.920520009171686E+00
     0.111000000000000E+02  -.451757893635261E+00  0.841684746405936E+00  -.495067157299709E+00  0.922375636632794E+00
     0.112000000000000E+02  -.431448129190283E+00  0.864326846581956E+00  -.462327745557377E+00  0.926188469410919E+00
     0.113000000000000E+02  -.412244710085724E+00  0.881240925394469E+00  -.435532056185538E+00  0.931021460899010E+00
     0.114000000000000E+02  -.396013359625282E+00  0.893083844419060E+00  -.414923352775568E+00  0.935729399095741E+00
