#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.560000000000000E+00  0.221385219613187E+00  0.797640906967460E-02  0.451115732330495E+01  0.162534952654966E+00
     0.570000000000000E+00  0.221350096008353E+00  0.812172323548938E-02  0.451165616484887E+01  0.165540577417275E+00
     0.580000000000000E+00  0.221314403629331E+00  0.826717463668562E-02  0.451216251812599E+01  0.168551322980910E+00
     0.590000000000000E+00  0.221278145043940E+00  0.841276425623355E-02  0.451267631967603E+01  0.171567246438113E+00
     0.600000000000000E+00  0.221241322840783E+00  0.855849299725091E-02  0.451319750557425E+01  0.174588403064579E+00
     0.610000000000000E+00  0.221203939627417E+00  0.870436168137635E-02  0.451372601147923E+01  0.177614846284961E+00
     0.620000000000000E+00  0.221165998028444E+00  0.885037104715906E-02  0.451426177268250E+01  0.180646627638973E+00
     0.630000000000000E+00  0.221127500683528E+00  0.899652174846683E-02  0.451480472416013E+01  0.183683796748186E+00
     0.640000000000000E+00  0.221088450245327E+00  0.914281435291640E-02  0.451535480062634E+01  0.186726401283592E+00
     0.650000000000000E+00  0.221048849377352E+00  0.928924934032857E-02  0.451591193658895E+01  0.189774486934012E+00
     0.660000000000000E+00  0.221008700751735E+00  0.943582710121179E-02  0.451647606640696E+01  0.192828097375450E+00
     0.670000000000000E+00  0.220968007046916E+00  0.958254793527745E-02  0.451704712435022E+01  0.195887274241483E+00
     0.680000000000000E+00  0.220926770945246E+00  0.972941204999057E-02  0.451762504466103E+01  0.198952057094781E+00
     0.690000000000001E+00  0.220884995130506E+00  0.987641955915958E-02  0.451820976161783E+01  0.202022483399847E+00
     0.700000000000001E+00  0.220842682285341E+00  0.100235704815690E-01  0.451880120960101E+01  0.205098588497092E+00
     0.710000000000001E+00  0.220799835088596E+00  0.101708647396592E-01  0.451939932316079E+01  0.208180405578345E+00
     0.720000000000001E+00  0.220756456212586E+00  0.103183021582567E-01  0.452000403708706E+01  0.211267965663899E+00
     0.730000000000001E+00  0.220712548320250E+00  0.104658824633606E-01  0.452061528648156E+01  0.214361297581222E+00
     0.740000000000001E+00  0.220668114062246E+00  0.106136052809875E-01  0.452123300683182E+01  0.217460427945423E+00
     0.750000000000001E+00  0.220623156073936E+00  0.107614701360819E-01  0.452185713408733E+01  0.220565381141598E+00
     0.760000000000001E+00  0.220577676972299E+00  0.109094764514940E-01  0.452248760473774E+01  0.223676179309186E+00
     0.770000000000001E+00  0.220531679352743E+00  0.110576235470314E-01  0.452312435589298E+01  0.226792842328444E+00
     0.780000000000001E+00  0.220485165785843E+00  0.112059106385898E-01  0.452376732536542E+01  0.229915387809152E+00
     0.790000000000001E+00  0.220438138813987E+00  0.113543368373651E-01  0.452441645175397E+01  0.233043831081698E+00
     0.800000000000001E+00  0.220390600947934E+00  0.115029011491551E-01  0.452507167453010E+01  0.236178185190657E+00
     0.810000000000001E+00  0.220342554663300E+00  0.116516024737535E-01  0.452573293412561E+01  0.239318460890971E+00
     0.820000000000001E+00  0.220294002396951E+00  0.118004396044422E-01  0.452640017202222E+01  0.242464666646885E+00
     0.830000000000001E+00  0.220244946543321E+00  0.119494112275872E-01  0.452707333084307E+01  0.245616808633774E+00
     0.840000000000001E+00  0.220195389450654E+00  0.120985159223429E-01  0.452775235444561E+01  0.248774890742940E+00
     0.850000000000001E+00  0.220145333417168E+00  0.122477521604699E-01  0.452843718801620E+01  0.251938914589557E+00
     0.860000000000001E+00  0.220094780687147E+00  0.123971183062725E-01  0.452912777816622E+01  0.255108879523877E+00
     0.870000000000001E+00  0.220043733446963E+00  0.125466126166600E-01  0.452982407302960E+01  0.258284782645819E+00
     0.880000000000001E+00  0.219992193821036E+00  0.126962332413377E-01  0.453052602236150E+01  0.261466618823050E+00
     0.890000000000001E+00  0.219940163867722E+00  0.128459782231322E-01  0.453123357763837E+01  0.264654380712728E+00
     0.900000000000001E+00  0.219887645575154E+00  0.129958454984577E-01  0.453194669215897E+01  0.267848058786980E+00
     0.910000000000001E+00  0.219834640857021E+00  0.131458328979257E-01  0.453266532114632E+01  0.271047641362247E+00
     0.920000000000001E+00  0.219781151548301E+00  0.132959381471060E-01  0.453338942185051E+01  0.274253114632635E+00
     0.930000000000001E+00  0.219727179400939E+00  0.134461588674420E-01  0.453411895365236E+01  0.277464462707380E+00
     0.940000000000001E+00  0.219672726079501E+00  0.135964925773259E-01  0.453485387816715E+01  0.280681667652464E+00
     0.950000000000001E+00  0.219617793156784E+00  0.137469366933379E-01  0.453559415934914E+01  0.283904709536598E+00
     0.960000000000001E+00  0.219562382109405E+00  0.138974885316545E-01  0.453633976359608E+01  0.287133566481580E+00
     0.970000000000000E+00  0.219506494313350E+00  0.140481453096302E-01  0.453709065985382E+01  0.290368214717172E+00
     0.980000000000000E+00  0.219450131039536E+00  0.141989041475556E-01  0.453784681972064E+01  0.293608628640532E+00
     0.990000000000000E+00  0.219393293449335E+00  0.143497620705975E-01  0.453860821755154E+01  0.296854780880361E+00
     0.100000000000000E+01  0.219335982590126E+00  0.145007160109230E-01  0.453937483056137E+01  0.300106642365691E+00
     0.101000000000000E+01  0.219278199390828E+00  0.146517628100122E-01  0.454014663892790E+01  0.303364182399557E+00
     0.102000000000000E+01  0.219219944657453E+00  0.148028992211613E-01  0.454092362589366E+01  0.306627368737496E+00
     0.103000000000000E+01  0.219161219068710E+00  0.149541219121804E-01  0.454170577786608E+01  0.309896167670843E+00
     0.104000000000000E+01  0.219102023171586E+00  0.151054274682866E-01  0.454249308451725E+01  0.313170544115118E+00
     0.105000000000000E+01  0.219042357377016E+00  0.152568123951960E-01  0.454328553888109E+01  0.316450461703208E+00
     0.106000000000000E+01  0.218982221955579E+00  0.154082731224152E-01  0.454408313744914E+01  0.319735882883591E+00
     0.107000000000000E+01  0.218921617033251E+00  0.155598060067336E-01  0.454488588026411E+01  0.323026769023504E+00
     0.108000000000000E+01  0.218860542587236E+00  0.157114073359178E-01  0.454569377101100E+01  0.326323080517043E+00
     0.109000000000000E+01  0.218798998441864E+00  0.158630733326085E-01  0.454650681710563E+01  0.329624776898209E+00
     0.110000000000000E+01  0.218736984264576E+00  0.160148001584180E-01  0.454732502978057E+01  0.332931816958865E+00
     0.111000000000000E+01  0.218674499562020E+00  0.161665839182307E-01  0.454814842416736E+01  0.336244158871467E+00
