# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigma
   -1.03103103    0.00388021
   -0.99099099    0.00391225
   -0.95095095    0.00394475
   -0.91091091    0.00397772
   -0.87087087    0.00401116
   -0.83083083    0.00404509
   -0.79079079    0.00407951
   -0.75075075    0.00411445
   -0.71071071    0.00414990
   -0.67067067    0.00418587
   -0.63063063    0.00422239
   -0.59059059    0.00425946
   -0.55055055    0.00429709
   -0.51051051    0.00433530
   -0.47047047    0.00437410
   -0.43043043    0.00441350
   -0.39039039    0.00445351
   -0.35035035    0.00449415
   -0.31031031    0.00453544
   -0.27027027    0.00457738
   -0.23023023    0.00462000
   -0.19019019    0.00466330
   -0.15015015    0.00470731
   -0.11011011    0.00475204
   -0.07007007    0.00479728
   -0.03003003    0.00484331
    0.01001001    0.00489027
    0.05005005    0.00493817
    0.09009009    0.00498705
    0.13013013    0.00503659
    0.17017017    0.00508688
    0.21021021    0.00513803
    0.25025025    0.00519010
    0.29029029    0.00524307
    0.33033033    0.00529699
    0.37037037    0.00535187
    0.41041041    0.00540773
    0.45045045    0.00546463
    0.49049049    0.00552256
    0.53053053    0.00558156
    0.57057057    0.00564166
    0.61061061    0.00570289
    0.65065065    0.00576527
    0.69069069    0.00582885
    0.73073073    0.00589365
    0.77077077    0.00595970
    0.81081081    0.00602705
    0.85085085    0.00609572
    0.89089089    0.00616577
    0.93093093    0.00623723
    0.97097097    0.00631013
    1.01101101    0.00638452
    1.05105105    0.00646045
    1.09109109    0.00653796
    1.13113113    0.00661709
    1.17117117    0.00669791
    1.21121121    0.00678045
    1.25125125    0.00686478
    1.29129129    0.00695095
    1.33133133    0.00703903
    1.37137137    0.00712906
    1.41141141    0.00722111
    1.45145145    0.00731526
    1.49149149    0.00741157
    1.53153153    0.00751011
    1.57157157    0.00761095
    1.61161161    0.00771418
    1.65165165    0.00781988
    1.69169169    0.00792813
    1.73173173    0.00803903
    1.77177177    0.00815267
    1.81181181    0.00826915
    1.85185185    0.00838856
    1.89189189    0.00851104
    1.93193193    0.00863667
    1.97197197    0.00876558
    2.01201201    0.00889791
    2.05205205    0.00903377
    2.09209209    0.00917332
    2.13213213    0.00931669
    2.17217217    0.00946404
    2.21221221    0.00961553
    2.25225225    0.00977133
    2.29229229    0.00993162
    2.33233233    0.01009660
    2.37237237    0.01026644
    2.41241241    0.01044138
    2.45245245    0.01062162
    2.49249249    0.01080741
    2.53253253    0.01099900
    2.57257257    0.01119664
    2.61261261    0.01140062
    2.65265265    0.01161123
    2.69269269    0.01182880
    2.73273273    0.01205363
    2.77277277    0.01228611
    2.81281281    0.01252658
    2.85285285    0.01277546
    2.89289289    0.01303315
    2.93293293    0.01330013
    2.97297297    0.01357687
    3.01301301    0.01386386
    3.05305305    0.01416165
    3.09309309    0.01447084
    3.13313313    0.01479202
    3.17317317    0.01512586
    3.21321321    0.01547306
    3.25325325    0.01583434
    3.29329329    0.01621052
    3.33333333    0.01660241
    3.37337337    0.01701093
    3.41341341    0.01743704
    3.45345345    0.01788173
    3.49349349    0.01834607
    3.53353353    0.01883122
    3.57357357    0.01933835
    3.61361361    0.01986873
    3.65365365    0.02042369
    3.69369369    0.02100457
    3.73373373    0.02161284
    3.77377377    0.02224995
    3.81381381    0.02291743
    3.85385385    0.02361683
    3.89389389    0.02434967
    3.93393393    0.02511749
    3.97397397    0.02592181
    4.01401401    0.02676404
    4.05405405    0.02764547
    4.09409409    0.02856733
    4.13413413    0.02953056
    4.17417417    0.03053596
    4.21421421    0.03158402
    4.25425425    0.03267500
    4.29429429    0.03380877
    4.33433433    0.03498485
    4.37437437    0.03620241
    4.41441441    0.03746033
    4.45445445    0.03875695
    4.49449449    0.04009030
    4.53453453    0.04145801
    4.57457457    0.04285711
    4.61461461    0.04428419
    4.65465465    0.04573514
    4.69469469    0.04720510
    4.73473473    0.04868836
    4.77477477    0.05017817
    4.81481481    0.05166694
    4.85485485    0.05314626
    4.89489489    0.05460696
    4.93493493    0.05603965
    4.97497497    0.05743528
    5.01501502    0.05878544
    5.05505506    0.06008331
    5.09509510    0.06132410
    5.13513514    0.06250563
    5.17517518    0.06362858
    5.21521522    0.06469656
    5.25525526    0.06571610
    5.29529530    0.06669613
    5.33533534    0.06764754
    5.37537538    0.06858235
    5.41541542    0.06951331
    5.45545546    0.07045297
    5.49549550    0.07141346
    5.53553554    0.07240586
    5.57557558    0.07344018
    5.61561562    0.07452509
    5.65565566    0.07566781
    5.69569570    0.07687449
    5.73573574    0.07814984
    5.77577578    0.07949766
    5.81581582    0.08092036
    5.85585586    0.08241941
    5.89589590    0.08399490
    5.93593594    0.08564587
    5.97597598    0.08736993
    6.01601602    0.08916343
    6.05605606    0.09102092
    6.09609610    0.09293498
    6.13613614    0.09489638
    6.17617618    0.09689344
    6.21621622    0.09891229
    6.25625626    0.10093633
    6.29629630    0.10294704
    6.33633634    0.10492380
    6.37637638    0.10684531
    6.41641642    0.10869018
    6.45645646    0.11043866
    6.49649650    0.11207360
    6.53653654    0.11358190
    6.57657658    0.11495634
    6.61661662    0.11619599
    6.65665666    0.11730716
    6.69669670    0.11830266
    6.73673674    0.11920222
    6.77677678    0.12003076
    6.81681682    0.12081762
    6.85685686    0.12159471
    6.89689690    0.12239516
    6.93693694    0.12325156
    6.97697698    0.12419426
    7.01701702    0.12525087
    7.05705706    0.12644446
    7.09709710    0.12779337
    7.13713714    0.12930957
    7.17717718    0.13099918
    7.21721722    0.13286140
    7.25725726    0.13488866
    7.29729730    0.13706625
    7.33733734    0.13937276
    7.37737738    0.14178007
    7.41741742    0.14425357
    7.45745746    0.14675392
    7.49749750    0.14923729
    7.53753754    0.15165766
    7.57757758    0.15396754
    7.61761762    0.15612086
    7.65765766    0.15807477
    7.69769770    0.15979162
    7.73773774    0.16124087
    7.77777778    0.16240071
    7.81781782    0.16325876
    7.85785786    0.16381237
    7.89789790    0.16406889
    7.93793794    0.16404406
    7.97797798    0.16376136
    8.01801802    0.16325013
    8.05805806    0.16254352
    8.09809810    0.16167712
    8.13813814    0.16068648
    8.17817818    0.15960603
    8.21821822    0.15846724
    8.25825826    0.15729746
    8.29829830    0.15611933
    8.33833834    0.15495010
    8.37837838    0.15380122
    8.41841842    0.15267890
    8.45845846    0.15158472
    8.49849850    0.15051591
    8.53853854    0.14946653
    8.57857858    0.14842809
    8.61861862    0.14739066
    8.65865866    0.14634311
    8.69869870    0.14527385
    8.73873874    0.14417116
    8.77877878    0.14302310
    8.81881882    0.14181749
    8.85885886    0.14054246
    8.89889890    0.13918637
    8.93893894    0.13773842
    8.97897898    0.13618915
    9.01901902    0.13453113
    9.05905906    0.13275978
    9.09909910    0.13087372
    9.13913914    0.12887582
    9.17917918    0.12677304
    9.21921922    0.12457609
    9.25925926    0.12229923
    9.29929930    0.11995968
    9.33933934    0.11757633
    9.37937938    0.11516931
    9.41941942    0.11275898
    9.45945946    0.11036488
