# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigma
   21.43812709    0.06648052
   21.57190635    0.06675997
   21.70568562    0.06715007
   21.83946488    0.06779704
   21.97324415    0.06875971
   22.10702341    0.07001233
   22.24080268    0.07147393
   22.37458194    0.07299132
   22.50836120    0.07435199
   22.64214047    0.07541950
   22.77591973    0.07628409
   22.90969900    0.07722910
   23.04347826    0.07849058
   23.17725753    0.07999696
   23.31103679    0.08130565
   23.44481605    0.08181864
   23.57859532    0.08113548
   23.71237458    0.07925094
   23.84615385    0.07645354
   23.97993311    0.07307713
   24.11371237    0.06935031
   24.24749164    0.06543942
   24.38127090    0.06156835
   24.51505017    0.05803395
   24.64882943    0.05508435
   24.78260870    0.05278018
   24.91638796    0.05094874
   25.05016722    0.04926747
   25.18394649    0.04745083
   25.31772575    0.04543114
   25.45150502    0.04338881
   25.58528428    0.04162017
   25.71906355    0.04037386
   25.85284281    0.03975681
   25.98662207    0.03970535
   26.12040134    0.03998425
   26.25418060    0.04021555
   26.38795987    0.03997943
   26.52173913    0.03899049
   26.65551839    0.03723721
   26.78929766    0.03495668
   26.92307692    0.03247993
   27.05685619    0.03009669
   27.19063545    0.02800988
   27.32441472    0.02634307
   27.45819398    0.02515692
   27.59197324    0.02446104
   27.72575251    0.02421754
   27.85953177    0.02433113
   27.99331104    0.02463209
   28.12709030    0.02487882
   28.26086957    0.02481963
   28.39464883    0.02430986
   28.52842809    0.02339452
   28.66220736    0.02226806
   28.79598662    0.02115108
   28.92976589    0.02019309
   29.06354515    0.01944616
   29.19732441    0.01888811
   29.33110368    0.01846423
   29.46488294    0.01812306
   29.59866221    0.01782967
   29.73244147    0.01756345
   29.86622074    0.01731579
   30.00000000    0.01708476
