# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigma
   15.76576577    0.00324329
   15.87587588    0.00316124
   15.98598599    0.00308805
   16.09609610    0.00302757
   16.20620621    0.00298146
   16.31631632    0.00295012
   16.42642643    0.00293309
   16.53653654    0.00292911
   16.64664665    0.00293598
   16.75675676    0.00295072
   16.86686687    0.00296974
   16.97697698    0.00298911
   17.08708709    0.00300483
   17.19719720    0.00301340
   17.30730731    0.00301274
   17.41741742    0.00300275
   17.52752753    0.00298503
   17.63763764    0.00296160
   17.74774775    0.00293402
   17.85785786    0.00290351
   17.96796797    0.00287183
   18.07807808    0.00284169
   18.18818819    0.00281587
   18.29829830    0.00279566
   18.40840841    0.00277987
   18.51851852    0.00276555
   18.62862863    0.00275022
   18.73873874    0.00273392
   18.84884885    0.00271958
   18.95895896    0.00271144
   19.06906907    0.00271285
   19.17917918    0.00272497
   19.28928929    0.00274650
   19.39939940    0.00277434
   19.50950951    0.00280432
   19.61961962    0.00283198
   19.72972973    0.00285332
   19.83983984    0.00286545
   19.94994995    0.00286741
   20.06006006    0.00286064
   20.17017017    0.00284904
   20.28028028    0.00283790
   20.39039039    0.00283199
   20.50050050    0.00283409
   20.61061061    0.00284461
   20.72072072    0.00286247
   20.83083083    0.00288646
   20.94094094    0.00291640
   21.05105105    0.00295332
   21.16116116    0.00299868
   21.27127127    0.00305317
   21.38138138    0.00311553
   21.49149149    0.00318215
   21.60160160    0.00324742
   21.71171171    0.00330491
   21.82182182    0.00334846
   21.93193193    0.00337273
   22.04204204    0.00337368
   22.15215215    0.00334959
   22.26226226    0.00330255
   22.37237237    0.00323929
   22.48248248    0.00317008
   22.59259259    0.00310611
   22.70270270    0.00305667
   22.81281281    0.00302723
   22.92292292    0.00301886
   23.03303303    0.00302840
   23.14314314    0.00304943
   23.25325325    0.00307367
   23.36336336    0.00309272
   23.47347347    0.00309982
   23.58358358    0.00309081
   23.69369369    0.00306443
   23.80380380    0.00302184
   23.91391391    0.00296595
   24.02402402    0.00290063
   24.13413413    0.00283019
   24.24424424    0.00275886
   24.35435435    0.00269016
   24.46446446    0.00262661
   24.57457457    0.00256996
   24.68468468    0.00252178
   24.79479479    0.00248350
   24.90490490    0.00245592
   25.01501502    0.00243852
   25.12512513    0.00242937
   25.23523524    0.00242575
   25.34534535    0.00242516
   25.45545546    0.00242627
   25.56556557    0.00242921
   25.67567568    0.00243514
   25.78578579    0.00244538
   25.89589590    0.00246026
   26.00600601    0.00247833
   26.11611612    0.00249602
   26.22622623    0.00250821
   26.33633634    0.00250964
   26.44644645    0.00249659
   26.55655656    0.00246818
   26.66666667    0.00242656
   26.77677678    0.00237605
   26.88688689    0.00232186
   26.99699700    0.00226885
   27.10710711    0.00222087
   27.21721722    0.00218047
   27.32732733    0.00214879
   27.43743744    0.00212558
   27.54754755    0.00210922
   27.65765766    0.00209701
   27.76776777    0.00208588
   27.87787788    0.00207331
   27.98798799    0.00205793
   28.09809810    0.00203960
   28.20820821    0.00201891
   28.31831832    0.00199658
   28.42842843    0.00197312
   28.53853854    0.00194880
   28.64864865    0.00192370
   28.75875876    0.00189776
   28.86886887    0.00187066
   28.97897898    0.00184161
   29.08908909    0.00180951
   29.19919920    0.00177328
   29.30930931    0.00173244
   29.41941942    0.00168744
   29.52952953    0.00163968
   29.63963964    0.00159103
   29.74974975    0.00154319
   29.85985986    0.00149726
   29.96996997    0.00145361
   30.08008008    0.00141214
   30.19019019    0.00137247
   30.30030030    0.00133418
   30.41041041    0.00129688
   30.52052052    0.00126047
   30.63063063    0.00122537
   30.74074074    0.00119270
   30.85085085    0.00116403
   30.96096096    0.00114088
   31.07107107    0.00112424
   31.18118118    0.00111415
   31.29129129    0.00110962
   31.40140140    0.00110872
   31.51151151    0.00110890
   31.62162162    0.00110756
   31.73173173    0.00110270
   31.84184184    0.00109345
   31.95195195    0.00108025
   32.06206206    0.00106448
   32.17217217    0.00104784
   32.28228228    0.00103175
   32.39239239    0.00101695
   32.50250250    0.00100354
   32.61261261    0.00099112
   32.72272272    0.00097907
   32.83283283    0.00096670
   32.94294294    0.00095331
   33.05305305    0.00093833
   33.16316316    0.00092140
   33.27327327    0.00090251
   33.38338338    0.00088202
   33.49349349    0.00086055
   33.60360360    0.00083876
   33.71371371    0.00081733
   33.82382382    0.00079688
   33.93393393    0.00077807
   34.04404404    0.00076155
   34.15415415    0.00074791
   34.26426426    0.00073756
   34.37437437    0.00073066
   34.48448448    0.00072715
   34.59459459    0.00072670
   34.70470470    0.00072877
   34.81481481    0.00073253
   34.92492492    0.00073689
   35.03503504    0.00074058
   35.14514515    0.00074242
   35.25525526    0.00074162
   35.36536537    0.00073806
   35.47547548    0.00073232
   35.58558559    0.00072543
   35.69569570    0.00071855
   35.80580581    0.00071253
   35.91591592    0.00070772
   36.02602603    0.00070388
   36.13613614    0.00070039
   36.24624625    0.00069648
   36.35635636    0.00069159
   36.46646647    0.00068551
   36.57657658    0.00067841
   36.68668669    0.00067065
   36.79679680    0.00066262
   36.90690691    0.00065456
   37.01701702    0.00064644
   37.12712713    0.00063801
   37.23723724    0.00062890
   37.34734735    0.00061877
   37.45745746    0.00060750
   37.56756757    0.00059533
   37.67767768    0.00058279
   37.78778779    0.00057068
   37.89789790    0.00055988
   38.00800801    0.00055120
   38.11811812    0.00054518
   38.22822823    0.00054202
   38.33833834    0.00054153
   38.44844845    0.00054317
   38.55855856    0.00054609
   38.66866867    0.00054926
   38.77877878    0.00055152
   38.88888889    0.00055174
   38.99899900    0.00054901
   39.10910911    0.00054287
   39.21921922    0.00053337
   39.32932933    0.00052102
   39.43943944    0.00050661
   39.54954955    0.00049103
   39.65965966    0.00047508
   39.76976977    0.00045941
   39.87987988    0.00044445
   39.98998999    0.00043038
   40.10010010    0.00041717
   40.21021021    0.00040471
   40.32032032    0.00039289
   40.43043043    0.00038167
   40.54054054    0.00037114
   40.65065065    0.00036141
   40.76076076    0.00035257
   40.87087087    0.00034463
   40.98098098    0.00033748
   41.09109109    0.00033098
   41.20120120    0.00032497
   41.31131131    0.00031937
   41.42142142    0.00031412
   41.53153153    0.00030919
   41.64164164    0.00030455
   41.75175175    0.00030015
   41.86186186    0.00029600
   41.97197197    0.00029214
   42.08208208    0.00028873
   42.19219219    0.00028592
   42.30230230    0.00028393
   42.41241241    0.00028291
   42.52252252    0.00028292
   42.63263263    0.00028388
   42.74274274    0.00028554
   42.85285285    0.00028748
   42.96296296    0.00028923
   43.07307307    0.00029032
   43.18318318    0.00029046
   43.29329329    0.00028959
   43.40340340    0.00028786
   43.51351351    0.00028559
   43.62362362    0.00028313
   43.73373373    0.00028072
   43.84384384    0.00027852
   43.95395395    0.00027654
   44.06406406    0.00027470
   44.17417417    0.00027285
   44.28428428    0.00027090
   44.39439439    0.00026878
   44.50450450    0.00026652
   44.61461461    0.00026417
   44.72472472    0.00026184
   44.83483483    0.00025962
   44.94494494    0.00025757
   45.05505506    0.00025572
   45.16516517    0.00025411
   45.27527528    0.00025282
   45.38538539    0.00025191
   45.49549550    0.00025144
   45.60560561    0.00025141
   45.71571572    0.00025176
   45.82582583    0.00025243
   45.93593594    0.00025332
   46.04604605    0.00025438
   46.15615616    0.00025556
   46.26626627    0.00025678
   46.37637638    0.00025795
   46.48648649    0.00025895
   46.59659660    0.00025967
   46.70670671    0.00026005
   46.81681682    0.00026010
   46.92692693    0.00025985
   47.03703704    0.00025936
   47.14714715    0.00025872
   47.25725726    0.00025800
   47.36736737    0.00025727
   47.47747748    0.00025660
   47.58758759    0.00025606
   47.69769770    0.00025569
   47.80780781    0.00025552
   47.91791792    0.00025551
   48.02802803    0.00025556
   48.13813814    0.00025544
   48.24824825    0.00025488
   48.35835836    0.00025358
   48.46846847    0.00025130
   48.57857858    0.00024789
   48.68868869    0.00024332
   48.79879880    0.00023773
   48.90890891    0.00023137
   49.01901902    0.00022461
   49.12912913    0.00021785
   49.23923924    0.00021147
   49.34934935    0.00020577
   49.45945946    0.00020088
   49.56956957    0.00019674
   49.67967968    0.00019321
   49.78978979    0.00019005
   49.89989990    0.00018706
   50.01001001    0.00018411
   50.12012012    0.00018114
   50.23023023    0.00017816
   50.34034034    0.00017520
   50.45045045    0.00017225
   50.56056056    0.00016928
   50.67067067    0.00016629
   50.78078078    0.00016326
   50.89089089    0.00016024
   51.00100100    0.00015725
   51.11111111    0.00015432
   51.22122122    0.00015145
   51.33133133    0.00014865
   51.44144144    0.00014592
   51.55155155    0.00014327
   51.66166166    0.00014066
   51.77177177    0.00013805
   51.88188188    0.00013537
   51.99199199    0.00013258
   52.10210210    0.00012967
   52.21221221    0.00012669
   52.32232232    0.00012371
   52.43243243    0.00012086
   52.54254254    0.00011822
   52.65265265    0.00011588
   52.76276276    0.00011387
   52.87287287    0.00011216
   52.98298298    0.00011069
