# final state angular momentum:   1
# broadening parameter (in eV):    1.50000000000    
# absorbing atom type:   1
# Energy (eV)   sigmatot   sigmaup    sigmadown 
    2.14046823    0.00013525    0.00006647    0.00006878
    2.24080268    0.00013858    0.00006839    0.00007019
    2.34113712    0.00014212    0.00007041    0.00007172
    2.44147157    0.00014591    0.00007254    0.00007337
    2.54180602    0.00014995    0.00007480    0.00007515
    2.64214047    0.00015427    0.00007719    0.00007708
    2.74247492    0.00015888    0.00007973    0.00007915
    2.84280936    0.00016381    0.00008242    0.00008139
    2.94314381    0.00016907    0.00008527    0.00008380
    3.04347826    0.00017470    0.00008831    0.00008639
    3.14381271    0.00018072    0.00009155    0.00008917
    3.24414716    0.00018716    0.00009499    0.00009217
    3.34448161    0.00019404    0.00009866    0.00009538
    3.44481605    0.00020139    0.00010257    0.00009883
    3.54515050    0.00020926    0.00010673    0.00010252
    3.64548495    0.00021766    0.00011117    0.00010649
    3.74581940    0.00022662    0.00011589    0.00011073
    3.84615385    0.00023617    0.00012091    0.00011526
    3.94648829    0.00024633    0.00012623    0.00012010
    4.04682274    0.00025711    0.00013187    0.00012525
    4.14715719    0.00026853    0.00013781    0.00013071
    4.24749164    0.00028056    0.00014406    0.00013650
    4.34782609    0.00029319    0.00015059    0.00014260
    4.44816054    0.00030638    0.00015738    0.00014900
    4.54849498    0.00032008    0.00016440    0.00015569
    4.64882943    0.00033423    0.00017161    0.00016262
    4.74916388    0.00034875    0.00017897    0.00016979
    4.84949833    0.00036358    0.00018643    0.00017715
    4.94983278    0.00037863    0.00019396    0.00018467
    5.05016722    0.00039386    0.00020152    0.00019234
    5.15050167    0.00040926    0.00020911    0.00020014
    5.25083612    0.00042481    0.00021673    0.00020808
    5.35117057    0.00044055    0.00022439    0.00021616
    5.45150502    0.00045654    0.00023213    0.00022441
    5.55183946    0.00047282    0.00023997    0.00023284
    5.65217391    0.00048943    0.00024796    0.00024147
    5.75250836    0.00050638    0.00025611    0.00025027
    5.85284281    0.00052363    0.00026441    0.00025922
    5.95317726    0.00054103    0.00027281    0.00026822
    6.05351171    0.00055838    0.00028123    0.00027716
    6.15384615    0.00057540    0.00028955    0.00028586
    6.25418060    0.00059173    0.00029762    0.00029411
    6.35451505    0.00060694    0.00030526    0.00030168
    6.45484950    0.00062060    0.00031229    0.00030832
    6.55518395    0.00063230    0.00031852    0.00031378
    6.65551839    0.00064165    0.00032379    0.00031787
    6.75585284    0.00064837    0.00032796    0.00032041
    6.85618729    0.00065224    0.00033093    0.00032132
    6.95652174    0.00065321    0.00033263    0.00032058
    7.05685619    0.00065131    0.00033305    0.00031825
    7.15719064    0.00064669    0.00033220    0.00031449
    7.25752508    0.00063960    0.00033012    0.00030948
    7.35785953    0.00063037    0.00032690    0.00030347
    7.45819398    0.00061939    0.00032267    0.00029672
    7.55852843    0.00060708    0.00031757    0.00028951
    7.65886288    0.00059389    0.00031180    0.00028209
    7.75919732    0.00058023    0.00030554    0.00027469
    7.85953177    0.00056652    0.00029901    0.00026751
    7.95986622    0.00055311    0.00029242    0.00026069
    8.06020067    0.00054033    0.00028595    0.00025438
    8.16053512    0.00052842    0.00027976    0.00024865
    8.26086957    0.00051758    0.00027401    0.00024358
    8.36120401    0.00050798    0.00026879    0.00023919
    8.46153846    0.00049972    0.00026419    0.00023553
    8.56187291    0.00049286    0.00026028    0.00023258
    8.66220736    0.00048746    0.00025710    0.00023036
    8.76254181    0.00048354    0.00025467    0.00022887
    8.86287625    0.00048110    0.00025302    0.00022808
    8.96321070    0.00048014    0.00025214    0.00022801
    9.06354515    0.00048066    0.00025204    0.00022862
    9.16387960    0.00048264    0.00025272    0.00022992
    9.26421405    0.00048608    0.00025417    0.00023191
