# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigma
   15.76576577    0.00372388
   15.87587588    0.00366010
   15.98598599    0.00360748
   16.09609610    0.00356586
   16.20620621    0.00353226
   16.31631632    0.00350260
   16.42642643    0.00347296
   16.53653654    0.00344033
   16.64664665    0.00340317
   16.75675676    0.00336194
   16.86686687    0.00331888
   16.97697698    0.00327670
   17.08708709    0.00323694
   17.19719720    0.00319949
   17.30730731    0.00316345
   17.41741742    0.00312858
   17.52752753    0.00309555
   17.63763764    0.00306493
   17.74774775    0.00303593
   17.85785786    0.00300659
   17.96796797    0.00297530
   18.07807808    0.00294247
   18.18818819    0.00291060
   18.29829830    0.00288297
   18.40840841    0.00286205
   18.51851852    0.00284897
   18.62862863    0.00284406
   18.73873874    0.00284766
   18.84884885    0.00286051
   18.95895896    0.00288339
   19.06906907    0.00291654
   19.17917918    0.00295894
   19.28928929    0.00300780
   19.39939940    0.00305875
   19.50950951    0.00310674
   19.61961962    0.00314737
   19.72972973    0.00317772
   19.83983984    0.00319638
   19.94994995    0.00320346
   20.06006006    0.00320101
   20.17017017    0.00319325
   20.28028028    0.00318557
   20.39039039    0.00318250
   20.50050050    0.00318572
   20.61061061    0.00319365
   20.72072072    0.00320276
   20.83083083    0.00320991
   20.94094094    0.00321416
   21.05105105    0.00321703
   21.16116116    0.00322135
   21.27127127    0.00322977
   21.38138138    0.00324371
   21.49149149    0.00326297
   21.60160160    0.00328551
   21.71171171    0.00330744
   21.82182182    0.00332316
   21.93193193    0.00332567
   22.04204204    0.00330773
   22.15215215    0.00326385
   22.26226226    0.00319291
   22.37237237    0.00309977
   22.48248248    0.00299459
   22.59259259    0.00288983
   22.70270270    0.00279672
   22.81281281    0.00272301
   22.92292292    0.00267236
   23.03303303    0.00264474
   23.14314314    0.00263704
   23.25325325    0.00264360
   23.36336336    0.00265681
   23.47347347    0.00266841
   23.58358358    0.00267128
   23.69369369    0.00266130
   23.80380380    0.00263826
   23.91391391    0.00260545
   24.02402402    0.00256831
   24.13413413    0.00253289
   24.24424424    0.00250447
   24.35435435    0.00248667
   24.46446446    0.00248083
   24.57457457    0.00248598
   24.68468468    0.00249913
   24.79479479    0.00251602
   24.90490490    0.00253210
   25.01501502    0.00254329
   25.12512513    0.00254639
   25.23523524    0.00253921
   25.34534535    0.00252104
   25.45545546    0.00249318
   25.56556557    0.00245914
   25.67567568    0.00242379
   25.78578579    0.00239196
   25.89589590    0.00236689
   26.00600601    0.00234919
   26.11611612    0.00233663
   26.22622623    0.00232483
   26.33633634    0.00230871
   26.44644645    0.00228435
   26.55655656    0.00225032
   26.66666667    0.00220794
   26.77677678    0.00216050
   26.88688689    0.00211212
   26.99699700    0.00206687
   27.10710711    0.00202822
   27.21721722    0.00199861
   27.32732733    0.00197909
   27.43743744    0.00196907
   27.54754755    0.00196640
   27.65765766    0.00196788
   27.76776777    0.00196992
   27.87787788    0.00196940
   27.98798799    0.00196412
   28.09809810    0.00195300
   28.20820821    0.00193580
   28.31831832    0.00191291
   28.42842843    0.00188512
   28.53853854    0.00185362
   28.64864865    0.00181997
   28.75875876    0.00178581
   28.86886887    0.00175254
   28.97897898    0.00172091
   29.08908909    0.00169100
   29.19919920    0.00166239
   29.30930931    0.00163445
   29.41941942    0.00160666
   29.52952953    0.00157887
