# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigma
   -1.03103103    0.00187325
   -0.99099099    0.00188755
   -0.95095095    0.00190202
   -0.91091091    0.00191669
   -0.87087087    0.00193154
   -0.83083083    0.00194658
   -0.79079079    0.00196182
   -0.75075075    0.00197725
   -0.71071071    0.00199289
   -0.67067067    0.00200874
   -0.63063063    0.00202480
   -0.59059059    0.00204107
   -0.55055055    0.00205756
   -0.51051051    0.00207428
   -0.47047047    0.00209122
   -0.43043043    0.00210839
   -0.39039039    0.00212580
   -0.35035035    0.00214346
   -0.31031031    0.00216136
   -0.27027027    0.00217951
   -0.23023023    0.00219791
   -0.19019019    0.00221658
   -0.15015015    0.00223552
   -0.11011011    0.00225473
   -0.07007007    0.00227413
   -0.03003003    0.00229381
    0.01001001    0.00231385
    0.05005005    0.00233425
    0.09009009    0.00235502
    0.13013013    0.00237604
    0.17017017    0.00239735
    0.21021021    0.00241897
    0.25025025    0.00244092
    0.29029029    0.00246320
    0.33033033    0.00248583
    0.37037037    0.00250881
    0.41041041    0.00253215
    0.45045045    0.00255588
    0.49049049    0.00257997
    0.53053053    0.00260446
    0.57057057    0.00262935
    0.61061061    0.00265465
    0.65065065    0.00268037
    0.69069069    0.00270651
    0.73073073    0.00273308
    0.77077077    0.00276011
    0.81081081    0.00278760
    0.85085085    0.00281556
    0.89089089    0.00284401
    0.93093093    0.00287294
    0.97097097    0.00290240
    1.01101101    0.00293237
    1.05105105    0.00296289
    1.09109109    0.00299396
    1.13113113    0.00302559
    1.17117117    0.00305779
    1.21121121    0.00309060
    1.25125125    0.00312402
    1.29129129    0.00315807
    1.33133133    0.00319278
    1.37137137    0.00322814
    1.41141141    0.00326420
    1.45145145    0.00330096
    1.49149149    0.00333845
    1.53153153    0.00337669
    1.57157157    0.00341569
    1.61161161    0.00345549
    1.65165165    0.00349611
    1.69169169    0.00353757
    1.73173173    0.00357990
    1.77177177    0.00362314
    1.81181181    0.00366729
    1.85185185    0.00371240
    1.89189189    0.00375850
    1.93193193    0.00380562
    1.97197197    0.00385379
    2.01201201    0.00390305
    2.05205205    0.00395343
    2.09209209    0.00400498
    2.13213213    0.00405774
    2.17217217    0.00411174
    2.21221221    0.00416704
    2.25225225    0.00422367
    2.29229229    0.00428169
    2.33233233    0.00434115
    2.37237237    0.00440210
    2.41241241    0.00446460
    2.45245245    0.00452871
    2.49249249    0.00459449
    2.53253253    0.00466201
    2.57257257    0.00473134
    2.61261261    0.00480254
    2.65265265    0.00487571
    2.69269269    0.00495091
    2.73273273    0.00502823
    2.77277277    0.00510777
    2.81281281    0.00518961
    2.85285285    0.00527387
    2.89289289    0.00536064
    2.93293293    0.00545005
    2.97297297    0.00554220
    3.01301301    0.00563724
    3.05305305    0.00573528
    3.09309309    0.00583648
    3.13313313    0.00594099
    3.17317317    0.00604896
    3.21321321    0.00616058
    3.25325325    0.00627601
    3.29329329    0.00639546
    3.33333333    0.00651913
    3.37337337    0.00664725
    3.41341341    0.00678004
    3.45345345    0.00691775
    3.49349349    0.00706066
    3.53353353    0.00720905
    3.57357357    0.00736320
    3.61361361    0.00752346
    3.65365365    0.00769016
    3.69369369    0.00786366
    3.73373373    0.00804436
    3.77377377    0.00823267
    3.81381381    0.00842903
    3.85385385    0.00863391
    3.89389389    0.00884781
    3.93393393    0.00907123
    3.97397397    0.00930475
    4.01401401    0.00954892
    4.05405405    0.00980437
    4.09409409    0.01007170
    4.13413413    0.01035159
    4.17417417    0.01064469
    4.21421421    0.01095167
    4.25425425    0.01127322
    4.29429429    0.01161001
    4.33433433    0.01196268
    4.37437437    0.01233181
    4.41441441    0.01271796
    4.45445445    0.01312154
    4.49449449    0.01354291
    4.53453453    0.01398221
    4.57457457    0.01443943
    4.61461461    0.01491432
    4.65465465    0.01540634
    4.69469469    0.01591472
    4.73473473    0.01643828
    4.77477477    0.01697552
    4.81481481    0.01752456
    4.85485485    0.01808324
    4.89489489    0.01864906
    4.93493493    0.01921936
    4.97497497    0.01979129
    5.01501502    0.02036206
    5.05505506    0.02092901
    5.09509510    0.02148973
    5.13513514    0.02204233
    5.17517518    0.02258538
    5.21521522    0.02311814
    5.25525526    0.02364049
    5.29529530    0.02415302
    5.33533534    0.02465688
    5.37537538    0.02515371
    5.41541542    0.02564534
    5.45545546    0.02613373
    5.49549550    0.02662074
    5.53553554    0.02710784
    5.57557558    0.02759611
    5.61561562    0.02808603
    5.65565566    0.02857759
    5.69569570    0.02907025
    5.73573574    0.02956311
    5.77577578    0.03005515
    5.81581582    0.03054537
    5.85585586    0.03103303
    5.89589590    0.03151783
    5.93593594    0.03200008
    5.97597598    0.03248059
    6.01601602    0.03296083
    6.05605606    0.03344266
    6.09609610    0.03392822
    6.13613614    0.03441974
    6.17617618    0.03491924
    6.21621622    0.03542848
    6.25625626    0.03594876
    6.29629630    0.03648091
    6.33633634    0.03702530
    6.37637638    0.03758193
    6.41641642    0.03815046
    6.45645646    0.03873054
    6.49649650    0.03932173
    6.53653654    0.03992370
    6.57657658    0.04053628
    6.61661662    0.04115943
    6.65665666    0.04179324
    6.69669670    0.04243783
    6.73673674    0.04309346
    6.77677678    0.04376034
    6.81681682    0.04443871
    6.85685686    0.04512892
    6.89689690    0.04583164
    6.93693694    0.04654775
    6.97697698    0.04727850
    7.01701702    0.04802560
    7.05705706    0.04879114
    7.09709710    0.04957745
    7.13713714    0.05038691
    7.17717718    0.05122184
    7.21721722    0.05208402
    7.25725726    0.05297444
    7.29729730    0.05389302
    7.33733734    0.05483865
    7.37737738    0.05580865
    7.41741742    0.05679903
    7.45745746    0.05780446
    7.49749750    0.05881854
    7.53753754    0.05983403
    7.57757758    0.06084308
    7.61761762    0.06183767
    7.65765766    0.06280991
    7.69769770    0.06375201
    7.73773774    0.06465658
    7.77777778    0.06551695
    7.81781782    0.06632658
    7.85785786    0.06707959
    7.89789790    0.06777060
    7.93793794    0.06839483
    7.97797798    0.06894837
    8.01801802    0.06942822
    8.05805806    0.06983272
    8.09809810    0.07016189
    8.13813814    0.07041740
    8.17817818    0.07060276
    8.21821822    0.07072338
    8.25825826    0.07078604
    8.29829830    0.07079901
    8.33833834    0.07077156
    8.37837838    0.07071349
    8.41841842    0.07063485
    8.45845846    0.07054569
    8.49849850    0.07045578
    8.53853854    0.07037457
    8.57857858    0.07031114
    8.61861862    0.07027417
    8.65865866    0.07027184
    8.69869870    0.07031198
    8.73873874    0.07040198
    8.77877878    0.07054877
    8.81881882    0.07075858
    8.85885886    0.07103664
    8.89889890    0.07138704
    8.93893894    0.07181219
    8.97897898    0.07231259
    9.01901902    0.07288641
    9.05905906    0.07352921
    9.09909910    0.07423350
    9.13913914    0.07498902
    9.17917918    0.07578243
    9.21921922    0.07659775
    9.25925926    0.07741674
    9.29929930    0.07821922
    9.33933934    0.07898400
    9.37937938    0.07968953
    9.41941942    0.08031477
    9.45945946    0.08083993
    9.49949950    0.08124727
    9.53953954    0.08152164
    9.57957958    0.08165139
    9.61961962    0.08162822
    9.65965966    0.08144789
