# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigmatot   sigmaup    sigmadown 
    2.14046823    0.00007810    0.00003735    0.00004075
    2.24080268    0.00007984    0.00003856    0.00004128
    2.34113712    0.00008182    0.00003986    0.00004196
    2.44147157    0.00008403    0.00004124    0.00004279
    2.54180602    0.00008650    0.00004273    0.00004377
    2.64214047    0.00008922    0.00004433    0.00004489
    2.74247492    0.00009221    0.00004605    0.00004616
    2.84280936    0.00009551    0.00004792    0.00004760
    2.94314381    0.00009914    0.00004994    0.00004920
    3.04347826    0.00010312    0.00005214    0.00005098
    3.14381271    0.00010751    0.00005455    0.00005296
    3.24414716    0.00011235    0.00005719    0.00005516
    3.34448161    0.00011769    0.00006009    0.00005760
    3.44481605    0.00012361    0.00006330    0.00006031
    3.54515050    0.00013020    0.00006686    0.00006334
    3.64548495    0.00013753    0.00007082    0.00006671
    3.74581940    0.00014575    0.00007525    0.00007049
    3.84615385    0.00015496    0.00008023    0.00007474
    3.94648829    0.00016534    0.00008582    0.00007951
    4.04682274    0.00017704    0.00009213    0.00008491
    4.14715719    0.00019027    0.00009926    0.00009101
    4.24749164    0.00020521    0.00010730    0.00009791
    4.34782609    0.00022203    0.00011633    0.00010570
    4.44816054    0.00024086    0.00012639    0.00011447
    4.54849498    0.00026168    0.00013745    0.00012423
    4.64882943    0.00028433    0.00014938    0.00013495
    4.74916388    0.00030834    0.00016189    0.00014645
    4.84949833    0.00033293    0.00017456    0.00015837
    4.94983278    0.00035699    0.00018678    0.00017021
    5.05016722    0.00037928    0.00019790    0.00018138
    5.15050167    0.00039877    0.00020739    0.00019138
    5.25083612    0.00041510    0.00021505    0.00020006
    5.35117057    0.00042887    0.00022117    0.00020770
    5.45150502    0.00044155    0.00022653    0.00021502
    5.55183946    0.00045513    0.00023215    0.00022298
    5.65217391    0.00047162    0.00023907    0.00023255
    5.75250836    0.00049275    0.00024821    0.00024455
    5.85284281    0.00051978    0.00026018    0.00025959
    5.95317726    0.00055341    0.00027536    0.00027805
    6.05351171    0.00059375    0.00029377    0.00029998
    6.15384615    0.00064010    0.00031505    0.00032505
    6.25418060    0.00069076    0.00033834    0.00035242
    6.35451505    0.00074288    0.00036226    0.00038062
    6.45484950    0.00079260    0.00038499    0.00040762
    6.55518395    0.00083565    0.00040462    0.00043103
    6.65551839    0.00086827    0.00041969    0.00044857
    6.75585284    0.00088810    0.00042962    0.00045848
    6.85618729    0.00089456    0.00043479    0.00045977
    6.95652174    0.00088840    0.00043611    0.00045228
    7.05685619    0.00087101    0.00043436    0.00043665
    7.15719064    0.00084392    0.00042965    0.00041426
    7.25752508    0.00080855    0.00042141    0.00038714
    7.35785953    0.00076640    0.00040882    0.00035759
    7.45819398    0.00071926    0.00039152    0.00032774
    7.55852843    0.00066927    0.00037004    0.00029923
    7.65886288    0.00061884    0.00034573    0.00027311
    7.75919732    0.00057017    0.00032030    0.00024987
    7.85953177    0.00052497    0.00029534    0.00022963
    7.95986622    0.00048429    0.00027203    0.00021226
    8.06020067    0.00044856    0.00025104    0.00019752
    8.16053512    0.00041776    0.00023263    0.00018513
    8.26086957    0.00039162    0.00021682    0.00017480
    8.36120401    0.00036973    0.00020346    0.00016627
    8.46153846    0.00035164    0.00019231    0.00015932
    8.56187291    0.00033690    0.00018315    0.00015375
    8.66220736    0.00032515    0.00017575    0.00014940
    8.76254181    0.00031605    0.00016991    0.00014613
    8.86287625    0.00030931    0.00016546    0.00014385
    8.96321070    0.00030473    0.00016225    0.00014248
    9.06354515    0.00030213    0.00016017    0.00014196
    9.16387960    0.00030140    0.00015915    0.00014225
    9.26421405    0.00030245    0.00015911    0.00014333
