# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigma
   -1.03103103    0.00190149
   -0.99099099    0.00191597
   -0.95095095    0.00193064
   -0.91091091    0.00194549
   -0.87087087    0.00196054
   -0.83083083    0.00197578
   -0.79079079    0.00199121
   -0.75075075    0.00200685
   -0.71071071    0.00202269
   -0.67067067    0.00203874
   -0.63063063    0.00205501
   -0.59059059    0.00207149
   -0.55055055    0.00208819
   -0.51051051    0.00210512
   -0.47047047    0.00212228
   -0.43043043    0.00213967
   -0.39039039    0.00215731
   -0.35035035    0.00217519
   -0.31031031    0.00219331
   -0.27027027    0.00221169
   -0.23023023    0.00223034
   -0.19019019    0.00224924
   -0.15015015    0.00226842
   -0.11011011    0.00228787
   -0.07007007    0.00230751
   -0.03003003    0.00232746
    0.01001001    0.00234776
    0.05005005    0.00236841
    0.09009009    0.00238944
    0.13013013    0.00241072
    0.17017017    0.00243227
    0.21021021    0.00245416
    0.25025025    0.00247638
    0.29029029    0.00249894
    0.33033033    0.00252185
    0.37037037    0.00254512
    0.41041041    0.00256876
    0.45045045    0.00259277
    0.49049049    0.00261717
    0.53053053    0.00264196
    0.57057057    0.00266715
    0.61061061    0.00269276
    0.65065065    0.00271878
    0.69069069    0.00274524
    0.73073073    0.00277215
    0.77077077    0.00279950
    0.81081081    0.00282733
    0.85085085    0.00285563
    0.89089089    0.00288442
    0.93093093    0.00291371
    0.97097097    0.00294352
    1.01101101    0.00297385
    1.05105105    0.00300473
    1.09109109    0.00303616
    1.13113113    0.00306817
    1.17117117    0.00310076
    1.21121121    0.00313396
    1.25125125    0.00316778
    1.29129129    0.00320223
    1.33133133    0.00323734
    1.37137137    0.00327313
    1.41141141    0.00330961
    1.45145145    0.00334680
    1.49149149    0.00338472
    1.53153153    0.00342340
    1.57157157    0.00346286
    1.61161161    0.00350313
    1.65165165    0.00354422
    1.69169169    0.00358616
    1.73173173    0.00362898
    1.77177177    0.00367270
    1.81181181    0.00371736
    1.85185185    0.00376299
    1.89189189    0.00380961
    1.93193193    0.00385726
    1.97197197    0.00390598
    2.01201201    0.00395579
    2.05205205    0.00400675
    2.09209209    0.00405887
    2.13213213    0.00411222
    2.17217217    0.00416682
    2.21221221    0.00422273
    2.25225225    0.00427999
    2.29229229    0.00433865
    2.33233233    0.00439877
    2.37237237    0.00446039
    2.41241241    0.00452357
    2.45245245    0.00458838
    2.49249249    0.00465488
    2.53253253    0.00472313
    2.57257257    0.00479320
    2.61261261    0.00486517
    2.65265265    0.00493912
    2.69269269    0.00501512
    2.73273273    0.00509327
    2.77277277    0.00517365
    2.81281281    0.00525636
    2.85285285    0.00534150
    2.89289289    0.00542918
    2.93293293    0.00551952
    2.97297297    0.00561263
    3.01301301    0.00570865
    3.05305305    0.00580770
    3.09309309    0.00590994
    3.13313313    0.00601551
    3.17317317    0.00612459
    3.21321321    0.00623733
    3.25325325    0.00635393
    3.29329329    0.00647458
    3.33333333    0.00659949
    3.37337337    0.00672888
    3.41341341    0.00686298
    3.45345345    0.00700205
    3.49349349    0.00714636
    3.53353353    0.00729619
    3.57357357    0.00745184
    3.61361361    0.00761364
    3.65365365    0.00778194
    3.69369369    0.00795711
    3.73373373    0.00813953
    3.77377377    0.00832962
    3.81381381    0.00852783
    3.85385385    0.00873463
    3.89389389    0.00895052
    3.93393393    0.00917601
    3.97397397    0.00941168
    4.01401401    0.00965809
    4.05405405    0.00991587
    4.09409409    0.01018564
    4.13413413    0.01046805
    4.17417417    0.01076379
    4.21421421    0.01107353
    4.25425425    0.01139795
    4.29429429    0.01173773
    4.33433433    0.01209351
    4.37437437    0.01246589
    4.41441441    0.01285542
    4.45445445    0.01326255
    4.49449449    0.01368759
    4.53453453    0.01413073
    4.57457457    0.01459194
    4.61461461    0.01507097
    4.65465465    0.01556730
    4.69469469    0.01608012
    4.73473473    0.01660825
    4.77477477    0.01715019
    4.81481481    0.01770408
    4.85485485    0.01826771
    4.89489489    0.01883860
    4.93493493    0.01941404
    4.97497497    0.01999120
    5.01501502    0.02056726
    5.05505506    0.02113954
    5.09509510    0.02170564
    5.13513514    0.02226360
    5.17517518    0.02281203
    5.21521522    0.02335016
    5.25525526    0.02387789
    5.29529530    0.02439583
    5.33533534    0.02490512
    5.37537538    0.02540739
    5.41541542    0.02590453
    5.45545546    0.02639849
    5.49549550    0.02689112
    5.53553554    0.02738391
    5.57557558    0.02787793
    5.61561562    0.02837369
    5.65565566    0.02887112
    5.69569570    0.02936971
    5.73573574    0.02986856
    5.77577578    0.03036663
    5.81581582    0.03086291
    5.85585586    0.03135667
    5.89589590    0.03184759
    5.93593594    0.03233596
    5.97597598    0.03282264
    6.01601602    0.03330909
    6.05605606    0.03379719
    6.09609610    0.03428910
    6.13613614    0.03478705
    6.17617618    0.03529312
    6.21621622    0.03580906
    6.25625626    0.03633618
    6.29629630    0.03687534
    6.33633634    0.03742688
    6.37637638    0.03799079
    6.41641642    0.03856679
    6.45645646    0.03915445
    6.49649650    0.03975337
    6.53653654    0.04036321
    6.57657658    0.04098380
    6.61661662    0.04161510
    6.65665666    0.04225721
    6.69669670    0.04291028
    6.73673674    0.04357453
    6.77677678    0.04425017
    6.81681682    0.04493749
    6.85685686    0.04563687
    6.89689690    0.04634892
    6.93693694    0.04707455
    6.97697698    0.04781505
    7.01701702    0.04857214
    7.05705706    0.04934791
    7.09709710    0.05014474
    7.13713714    0.05096506
    7.17717718    0.05181115
    7.21721722    0.05268481
    7.25725726    0.05358706
    7.29729730    0.05451790
    7.33733734    0.05547607
    7.37737738    0.05645890
    7.41741742    0.05746235
    7.45745746    0.05848106
    7.49749750    0.05950853
    7.53753754    0.06053743
    7.57757758    0.06155986
    7.61761762    0.06256772
    7.65765766    0.06355294
    7.69769770    0.06450772
    7.73773774    0.06542468
    7.77777778    0.06629686
    7.81781782    0.06711781
    7.85785786    0.06788155
    7.89789790    0.06858263
    7.93793794    0.06921622
    7.97797798    0.06977831
    8.01801802    0.07026593
    8.05805806    0.07067745
    8.09809810    0.07101281
    8.13813814    0.07127373
    8.17817818    0.07146379
    8.21821822    0.07158836
    8.25825826    0.07165444
    8.29829830    0.07167037
    8.33833834    0.07164548
    8.37837838    0.07158968
    8.41841842    0.07151316
    8.45845846    0.07142608
    8.49849850    0.07133837
    8.53853854    0.07125960
    8.57857858    0.07119893
    8.61861862    0.07116508
    8.65865866    0.07116639
    8.69869870    0.07121078
    8.73873874    0.07130576
    8.77877878    0.07145831
    8.81881882    0.07167469
    8.85885886    0.07196028
    8.89889890    0.07231915
    8.93893894    0.07275380
    8.97897898    0.07326470
    9.01901902    0.07384995
    9.05905906    0.07450499
    9.09909910    0.07522232
    9.13913914    0.07599145
    9.17917918    0.07679892
    9.21921922    0.07762851
    9.25925926    0.07846168
    9.29929930    0.07927804
    9.33933934    0.08005609
    9.37937938    0.08077400
    9.41941942    0.08141041
    9.45945946    0.08194527
    9.49949950    0.08236060
    9.53953954    0.08264116
    9.57957958    0.08277497
    9.61961962    0.08275376
    9.65965966    0.08257319
    9.69969970    0.08223303
    9.73973974    0.08173707
    9.77977978    0.08109304
    9.81981982    0.08031220
    9.85985986    0.07940897
    9.89989990    0.07840028
    9.93993994    0.07730492
    9.97997998    0.07614277
   10.02002002    0.07493409
   10.06006006    0.07369877
   10.10010010    0.07245573
   10.14014014    0.07122240
   10.18018018    0.07001436
   10.22022022    0.06884512
   10.26026026    0.06772604
   10.30030030    0.06666634
   10.34034034    0.06567323
   10.38038038    0.06475199
   10.42042042    0.06390620
   10.46046046    0.06313780
   10.50050050    0.06244724
   10.54054054    0.06183357
   10.58058058    0.06129446
   10.62062062    0.06082628
   10.66066066    0.06042421
   10.70070070    0.06008234
   10.74074074    0.05979393
   10.78078078    0.05955170
   10.82082082    0.05934818
   10.86086086    0.05917618
   10.90090090    0.05902927
   10.94094094    0.05890221
   10.98098098    0.05879136
   11.02102102    0.05869500
   11.06106106    0.05861342
   11.10110110    0.05854889
   11.14114114    0.05850552
   11.18118118    0.05848885
   11.22122122    0.05850547
   11.26126126    0.05856248
   11.30130130    0.05866703
   11.34134134    0.05882584
   11.38138138    0.05904482
   11.42142142    0.05932874
   11.46146146    0.05968109
   11.50150150    0.06010392
   11.54154154    0.06059790
   11.58158158    0.06116243
   11.62162162    0.06179579
   11.66166166    0.06249547
   11.70170170    0.06325848
   11.74174174    0.06408166
   11.78178178    0.06496204
   11.82182182    0.06589711
   11.86186186    0.06688496
   11.90190190    0.06792440
   11.94194194    0.06901478
   11.98198198    0.07015579
   12.02202202    0.07134710
   12.06206206    0.07258787
   12.10210210    0.07387628
   12.14214214    0.07520911
   12.18218218    0.07658131
   12.22222222    0.07798580
   12.26226226    0.07941342
   12.30230230    0.08085303
   12.34234234    0.08229184
   12.38238238    0.08371587
   12.42242242    0.08511055
   12.46246246    0.08646133
   12.50250250    0.08775430
   12.54254254    0.08897671
   12.58258258    0.09011733
   12.62262262    0.09116667
   12.66266266    0.09211697
   12.70270270    0.09296206
   12.74274274    0.09369717
   12.78278278    0.09431861
   12.82282282    0.09482355
   12.86286286    0.09520988
   12.90290290    0.09547610
   12.94294294    0.09562137
   12.98298298    0.09564551
   13.02302302    0.09554909
   13.06306306    0.09533345
   13.10310310    0.09500058
   13.14314314    0.09455309
   13.18318318    0.09399410
   13.22322322    0.09332714
   13.26326326    0.09255624
   13.30330330    0.09168602
   13.34334334    0.09072200
   13.38338338    0.08967089
   13.42342342    0.08854092
   13.46346346    0.08734211
   13.50350350    0.08608634
   13.54354354    0.08478735
   13.58358358    0.08346040
   13.62362362    0.08212188
   13.66366366    0.08078872
   13.70370370    0.07947778
   13.74374374    0.07820525
   13.78378378    0.07698608
   13.82382382    0.07583361
   13.86386386    0.07475919
   13.90390390    0.07377210
   13.94394394    0.07287951
   13.98398398    0.07208659
   14.02402402    0.07139671
   14.06406406    0.07081175
   14.10410410    0.07033236
   14.14414414    0.06995832
   14.18418418    0.06968880
   14.22422422    0.06952258
   14.26426426    0.06945819
   14.30430430    0.06949389
   14.34434434    0.06962761
   14.38438438    0.06985669
   14.42442442    0.07017762
   14.46446446    0.07058568
   14.50450450    0.07107456
   14.54454454    0.07163609
   14.58458458    0.07225993
   14.62462462    0.07293349
   14.66466466    0.07364191
   14.70470470    0.07436832
   14.74474474    0.07509421
   14.78478478    0.07579999
   14.82482482    0.07646578
   14.86486486    0.07707222
   14.90490490    0.07760139
   14.94494494    0.07803765
   14.98498498    0.07836840
   15.02502503    0.07858465
   15.06506507    0.07868126
   15.10510511    0.07865705
   15.14514515    0.07851452
   15.18518519    0.07825938
   15.22522523    0.07789991
   15.26526527    0.07744620
   15.30530531    0.07690930
   15.34534535    0.07630046
   15.38538539    0.07563037
   15.42542543    0.07490855
   15.46546547    0.07414286
   15.50550551    0.07333914
   15.54554555    0.07250113
   15.58558559    0.07163041
   15.62562563    0.07072666
   15.66566567    0.06978790
   15.70570571    0.06881100
   15.74574575    0.06779215
   15.78578579    0.06672740
   15.82582583    0.06561316
   15.86586587    0.06444670
   15.90590591    0.06322653
   15.94594595    0.06195268
   15.98598599    0.06062691
   16.02602603    0.05925278
   16.06606607    0.05783560
   16.10610611    0.05638230
   16.14614615    0.05490116
   16.18618619    0.05340152
   16.22622623    0.05189338
   16.26626627    0.05038702
   16.30630631    0.04889256
   16.34634635    0.04741968
   16.38638639    0.04597726
   16.42642643    0.04457322
   16.46646647    0.04321436
   16.50650651    0.04190631
   16.54654655    0.04065352
   16.58658659    0.03945934
   16.62662663    0.03832614
   16.66666667    0.03725536
   16.70670671    0.03624770
   16.74674675    0.03530321
   16.78678679    0.03442143
   16.82682683    0.03360149
   16.86686687    0.03284220
   16.90690691    0.03214214
   16.94694695    0.03149971
   16.98698699    0.03091317
   17.02702703    0.03038069
   17.06706707    0.02990033
   17.10710711    0.02947008
   17.14714715    0.02908782
   17.18718719    0.02875132
   17.22722723    0.02845819
   17.26726727    0.02820586
   17.30730731    0.02799155
   17.34734735    0.02781218
   17.38738739    0.02766443
   17.42742743    0.02754463
   17.46746747    0.02744882
   17.50750751    0.02737274
   17.54754755    0.02731193
   17.58758759    0.02726180
   17.62762763    0.02721778
   17.66766767    0.02717547
   17.70770771    0.02713089
   17.74774775    0.02708061
   17.78778779    0.02702201
   17.82782783    0.02695337
   17.86786787    0.02687404
   17.90790791    0.02678442
   17.94794795    0.02668596
   17.98798799    0.02658104
   18.02802803    0.02647281
   18.06806807    0.02636499
   18.10810811    0.02626169
   18.14814815    0.02616721
   18.18818819    0.02608582
   18.22822823    0.02602169
   18.26826827    0.02597874
   18.30830831    0.02596058
   18.34834835    0.02597052
   18.38838839    0.02601149
   18.42842843    0.02608614
   18.46846847    0.02619680
   18.50850851    0.02634552
   18.54854855    0.02653415
   18.58858859    0.02676430
   18.62862863    0.02703739
   18.66866867    0.02735466
   18.70870871    0.02771719
   18.74874875    0.02812581
   18.78878879    0.02858114
   18.82882883    0.02908351
   18.86886887    0.02963291
   18.90890891    0.03022891
   18.94894895    0.03087053
   18.98898899    0.03155623
   19.02902903    0.03228372
   19.06906907    0.03304990
   19.10910911    0.03385075
   19.14914915    0.03468134
   19.18918919    0.03553572
   19.22922923    0.03640705
   19.26926927    0.03728770
   19.30930931    0.03816947
   19.34934935    0.03904389
   19.38938939    0.03990263
   19.42942943    0.04073797
   19.46946947    0.04154326
   19.50950951    0.04231337
   19.54954955    0.04304510
   19.58958959    0.04373738
   19.62962963    0.04439133
   19.66966967    0.04501018
   19.70970971    0.04559887
   19.74974975    0.04616367
   19.78978979    0.04671151
   19.82982983    0.04724938
   19.86986987    0.04778372
   19.90990991    0.04831984
   19.94994995    0.04886145
   19.98998999    0.04941035
   20.03003003    0.04996627
   20.07007007    0.05052681
   20.11011011    0.05108764
   20.15015015    0.05164275
   20.19019019    0.05218490
   20.23023023    0.05270613
   20.27027027    0.05319837
   20.31031031    0.05365403
   20.35035035    0.05406655
   20.39039039    0.05443088
   20.43043043    0.05474380
   20.47047047    0.05500411
   20.51051051    0.05521261
   20.55055055    0.05537194
   20.59059059    0.05548639
   20.63063063    0.05556150
   20.67067067    0.05560366
   20.71071071    0.05561977
   20.75075075    0.05561675
   20.79079079    0.05560125
   20.83083083    0.05557924
   20.87087087    0.05555580
   20.91091091    0.05553484
   20.95095095    0.05551905
   20.99099099    0.05550984
   21.03103103    0.05550740
   21.07107107    0.05551089
   21.11111111    0.05551866
   21.15115115    0.05552855
   21.19119119    0.05553815
   21.23123123    0.05554517
   21.27127127    0.05554768
   21.31131131    0.05554434
   21.35135135    0.05553458
   21.39139139    0.05551867
   21.43143143    0.05549777
   21.47147147    0.05547386
   21.51151151    0.05544963
   21.55155155    0.05542830
   21.59159159    0.05541337
   21.63163163    0.05540845
   21.67167167    0.05541694
   21.71171171    0.05544186
   21.75175175    0.05548567
   21.79179179    0.05555017
   21.83183183    0.05563650
   21.87187187    0.05574514
   21.91191191    0.05587604
   21.95195195    0.05602873
   21.99199199    0.05620241
   22.03203203    0.05639605
   22.07207207    0.05660835
   22.11211211    0.05683776
   22.15215215    0.05708232
   22.19219219    0.05733957
   22.23223223    0.05760645
   22.27227227    0.05787921
   22.31231231    0.05815353
   22.35235235    0.05842458
   22.39239239    0.05868738
   22.43243243    0.05893709
   22.47247247    0.05916948
   22.51251251    0.05938133
   22.55255255    0.05957083
   22.59259259    0.05973782
   22.63263263    0.05988399
   22.67267267    0.06001277
   22.71271271    0.06012919
   22.75275275    0.06023949
   22.79279279    0.06035060
   22.83283283    0.06046960
   22.87287287    0.06060307
   22.91291291    0.06075645
   22.95295295    0.06093354
   22.99299299    0.06113594
   23.03303303    0.06136279
   23.07307307    0.06161059
   23.11311311    0.06187315
   23.15315315    0.06214185
   23.19319319    0.06240599
   23.23323323    0.06265333
   23.27327327    0.06287077
   23.31331331    0.06304512
   23.35335335    0.06316388
   23.39339339    0.06321593
   23.43343343    0.06319220
   23.47347347    0.06308613
   23.51351351    0.06289386
   23.55355355    0.06261432
   23.59359359    0.06224906
   23.63363363    0.06180191
   23.67367367    0.06127853
   23.71371371    0.06068584
   23.75375375    0.06003150
   23.79379379    0.05932335
   23.83383383    0.05856897
   23.87387387    0.05777530
   23.91391391    0.05694843
   23.95395395    0.05609354
   23.99399399    0.05521494
   24.03403403    0.05431627
   24.07407407    0.05340072
   24.11411411    0.05247139
   24.15415415    0.05153154
   24.19419419    0.05058485
   24.23423423    0.04963562
   24.27427427    0.04868881
   24.31431431    0.04774997
   24.35435435    0.04682513
   24.39439439    0.04592055
   24.43443443    0.04504239
   24.47447447    0.04419646
   24.51451451    0.04338784
   24.55455455    0.04262066
   24.59459459    0.04189786
   24.63463463    0.04122100
   24.67467467    0.04059019
   24.71471471    0.04000406
   24.75475475    0.03945976
   24.79479479    0.03895314
   24.83483483    0.03847885
   24.87487487    0.03803066
   24.91491491    0.03760172
   24.95495495    0.03718495
   24.99499499    0.03677346
   25.03503504    0.03636092
   25.07507508    0.03594200
   25.11511512    0.03551265
   25.15515516    0.03507038
   25.19519520    0.03461439
   25.23523524    0.03414553
   25.27527528    0.03366626
   25.31531532    0.03318036
   25.35535536    0.03269267
   25.39539540    0.03220877
   25.43543544    0.03173458
   25.47547548    0.03127610
   25.51551552    0.03083906
   25.55555556    0.03042873
   25.59559560    0.03004972
   25.63563564    0.02970585
   25.67567568    0.02940005
   25.71571572    0.02913435
   25.75575576    0.02890981
   25.79579580    0.02872651
   25.83583584    0.02858356
   25.87587588    0.02847912
   25.91591592    0.02841034
   25.95595596    0.02837341
   25.99599600    0.02836357
   26.03603604    0.02837515
   26.07607608    0.02840164
   26.11611612    0.02843578
   26.15615616    0.02846975
   26.19619620    0.02849537
   26.23623624    0.02850441
   26.27627628    0.02848886
   26.31631632    0.02844134
   26.35635636    0.02835540
   26.39639640    0.02822591
   26.43643644    0.02804926
   26.47647648    0.02782354
   26.51651652    0.02754861
   26.55655656    0.02722604
   26.59659660    0.02685890
   26.63663664    0.02645153
   26.67667668    0.02600924
   26.71671672    0.02553798
   26.75675676    0.02504398
   26.79679680    0.02453356
   26.83683684    0.02401283
   26.87687688    0.02348757
   26.91691692    0.02296311
   26.95695696    0.02244427
   26.99699700    0.02193540
   27.03703704    0.02144032
   27.07707708    0.02096239
   27.11711712    0.02050451
   27.15715716    0.02006918
   27.19719720    0.01965851
   27.23723724    0.01927426
   27.27727728    0.01891784
   27.31731732    0.01859035
   27.35735736    0.01829260
   27.39739740    0.01802511
   27.43743744    0.01778816
   27.47747748    0.01758174
   27.51751752    0.01740562
   27.55755756    0.01725931
   27.59759760    0.01714206
   27.63763764    0.01705283
   27.67767768    0.01699027
   27.71771772    0.01695271
   27.75775776    0.01693809
   27.79779780    0.01694393
   27.83783784    0.01696733
   27.87787788    0.01700492
   27.91791792    0.01705285
   27.95795796    0.01710688
   27.99799800    0.01716237
   28.03803804    0.01721444
   28.07807808    0.01725809
   28.11811812    0.01728840
   28.15815816    0.01730073
   28.19819820    0.01729101
   28.23823824    0.01725589
   28.27827828    0.01719299
   28.31831832    0.01710105
   28.35835836    0.01697997
   28.39839840    0.01683079
   28.43843844    0.01665564
   28.47847848    0.01645754
   28.51851852    0.01624022
   28.55855856    0.01600781
   28.59859860    0.01576467
   28.63863864    0.01551515
   28.67867868    0.01526334
   28.71871872    0.01501301
   28.75875876    0.01476740
   28.79879880    0.01452926
   28.83883884    0.01430075
   28.87887888    0.01408345
   28.91891892    0.01387842
   28.95895896    0.01368622
   28.99899900    0.01350697
   29.03903904    0.01334043
   29.07907908    0.01318605
   29.11911912    0.01304309
   29.15915916    0.01291064
   29.19919920    0.01278775
   29.23923924    0.01267345
   29.27927928    0.01256681
   29.31931932    0.01246701
   29.35935936    0.01237329
   29.39939940    0.01228503
   29.43943944    0.01220168
   29.47947948    0.01212277
   29.51951952    0.01204790
   29.55955956    0.01197668
   29.59959960    0.01190879
   29.63963964    0.01184391
   29.67967968    0.01178174
   29.71971972    0.01172202
   29.75975976    0.01166449
   29.79979980    0.01160892
   29.83983984    0.01155509
   29.87987988    0.01150278
   29.91991992    0.01145171
   29.95995996    0.01140158
   30.00000000    0.01135204
