# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigmatot   sigmaup    sigmadown 
    2.14046823    0.00006843    0.00003268    0.00003575
    2.24080268    0.00006996    0.00003375    0.00003622
    2.34113712    0.00007170    0.00003488    0.00003682
    2.44147157    0.00007365    0.00003610    0.00003754
    2.54180602    0.00007581    0.00003741    0.00003840
    2.64214047    0.00007821    0.00003882    0.00003939
    2.74247492    0.00008084    0.00004034    0.00004051
    2.84280936    0.00008375    0.00004198    0.00004177
    2.94314381    0.00008694    0.00004376    0.00004318
    3.04347826    0.00009045    0.00004570    0.00004475
    3.14381271    0.00009432    0.00004782    0.00004650
    3.24414716    0.00009858    0.00005015    0.00004843
    3.34448161    0.00010329    0.00005271    0.00005059
    3.44481605    0.00010851    0.00005553    0.00005298
    3.54515050    0.00011432    0.00005867    0.00005565
    3.64548495    0.00012079    0.00006216    0.00005863
    3.74581940    0.00012803    0.00006607    0.00006196
    3.84615385    0.00013616    0.00007045    0.00006571
    3.94648829    0.00014531    0.00007539    0.00006993
    4.04682274    0.00015564    0.00008095    0.00007469
    4.14715719    0.00016731    0.00008724    0.00008008
    4.24749164    0.00018050    0.00009433    0.00008617
    4.34782609    0.00019534    0.00010229    0.00009305
    4.44816054    0.00021195    0.00011116    0.00010079
    4.54849498    0.00023033    0.00012092    0.00010942
    4.64882943    0.00025032    0.00013144    0.00011888
    4.74916388    0.00027151    0.00014248    0.00012903
    4.84949833    0.00029321    0.00015365    0.00013956
    4.94983278    0.00031444    0.00016442    0.00015002
    5.05016722    0.00033410    0.00017422    0.00015988
    5.15050167    0.00035129    0.00018258    0.00016871
    5.25083612    0.00036568    0.00018932    0.00017636
    5.35117057    0.00037780    0.00019471    0.00018309
    5.45150502    0.00038896    0.00019942    0.00018954
    5.55183946    0.00040091    0.00020435    0.00019656
    5.65217391    0.00041543    0.00021044    0.00020499
    5.75250836    0.00043404    0.00021847    0.00021557
    5.85284281    0.00045785    0.00022901    0.00022884
    5.95317726    0.00048749    0.00024237    0.00024512
    6.05351171    0.00052305    0.00025858    0.00026446
    6.15384615    0.00056391    0.00027732    0.00028658
    6.25418060    0.00060856    0.00029784    0.00031072
    6.35451505    0.00065451    0.00031890    0.00033560
    6.45484950    0.00069833    0.00033891    0.00035942
    6.55518395    0.00073627    0.00035620    0.00038007
    6.65551839    0.00076500    0.00036946    0.00039554
    6.75585284    0.00078245    0.00037819    0.00040426
    6.85618729    0.00078809    0.00038272    0.00040538
    6.95652174    0.00078261    0.00038386    0.00039875
    7.05685619    0.00076722    0.00038229    0.00038493
    7.15719064    0.00074327    0.00037812    0.00036516
    7.25752508    0.00071203    0.00037082    0.00034120
    7.35785953    0.00067481    0.00035971    0.00031511
    7.45819398    0.00063320    0.00034445    0.00028875
    7.55852843    0.00058909    0.00032551    0.00026359
    7.65886288    0.00054459    0.00030407    0.00024052
