# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   12.46246246    0.00436605
   12.57257257    0.00419707
   12.68268268    0.00403737
   12.79279279    0.00388969
   12.90290290    0.00375761
   13.01301301    0.00364481
   13.12312312    0.00355402
   13.23323323    0.00348618
   13.34334334    0.00344050
   13.45345345    0.00341513
   13.56356356    0.00340780
   13.67367367    0.00341597
   13.78378378    0.00343653
   13.89389389    0.00346562
   14.00400400    0.00349875
   14.11411411    0.00353198
   14.22422422    0.00356381
   14.33433433    0.00359657
   14.44444444    0.00363544
   14.55455455    0.00368519
   14.66466466    0.00374648
   14.77477477    0.00381439
   14.88488488    0.00387979
   14.99499499    0.00393294
   15.10510511    0.00396733
   15.21521522    0.00398205
   15.32532533    0.00398133
   15.43543544    0.00397171
   15.54554555    0.00395870
   15.65565566    0.00394504
   15.76576577    0.00393117
   15.87587588    0.00391664
   15.98598599    0.00390125
   16.09609610    0.00388574
   16.20620621    0.00387237
   16.31631632    0.00386515
   16.42642643    0.00386856
   16.53653654    0.00388497
   16.64664665    0.00391229
   16.75675676    0.00394323
   16.86686687    0.00396690
   16.97697698    0.00397227
   17.08708709    0.00395240
   17.19719720    0.00390738
   17.30730731    0.00384400
   17.41741742    0.00377261
   17.52752753    0.00370320
   17.63763764    0.00364262
   17.74774775    0.00359347
   17.85785786    0.00355463
   17.96796797    0.00352273
   18.07807808    0.00349361
   18.18818819    0.00346346
   18.29829830    0.00342951
   18.40840841    0.00339080
   18.51851852    0.00334853
   18.62862863    0.00330542
   18.73873874    0.00326401
   18.84884885    0.00322523
   18.95895896    0.00318844
   19.06906907    0.00315271
   19.17917918    0.00311812
   19.28928929    0.00308562
   19.39939940    0.00305561
   19.50950951    0.00302690
   19.61961962    0.00299729
   19.72972973    0.00296549
   19.83983984    0.00293250
   19.94994995    0.00290136
   20.06006006    0.00287546
   20.17017017    0.00285697
   20.28028028    0.00284659
   20.39039039    0.00284440
   20.50050050    0.00285075
   20.61061061    0.00286651
   20.72072072    0.00289250
   20.83083083    0.00292867
   20.94094094    0.00297349
   21.05105105    0.00302358
   21.16116116    0.00307419
   21.27127127    0.00312032
   21.38138138    0.00315799
   21.49149149    0.00318476
   21.60160160    0.00319971
   21.71171171    0.00320352
   21.82182182    0.00319892
   21.93193193    0.00319064
   22.04204204    0.00318402
   22.15215215    0.00318285
   22.26226226    0.00318779
   22.37237237    0.00319647
   22.48248248    0.00320524
   22.59259259    0.00321152
   22.70270270    0.00321515
   22.81281281    0.00321816
   22.92292292    0.00322344
   23.03303303    0.00323337
   23.14314314    0.00324902
   23.25325325    0.00326967
   23.36336336    0.00329266
   23.47347347    0.00331346
   23.58358358    0.00332584
   23.69369369    0.00332261
   23.80380380    0.00329692
   23.91391391    0.00324449
   24.02402402    0.00316598
   24.13413413    0.00306800
   24.24424424    0.00296172
   24.35435435    0.00285949
   24.46446446    0.00277165
   24.57457457    0.00270473
   24.68468468    0.00266128
   24.79479479    0.00264029
   24.90490490    0.00263782
   25.01501502    0.00264744
   25.12512513    0.00266109
   25.23523524    0.00267062
   25.34534535    0.00266969
   25.45545546    0.00265542
   25.56556557    0.00262883
   25.67567568    0.00259403
   25.78578579    0.00255681
   25.89589590    0.00252309
   26.00600601    0.00249775
   26.11611612    0.00248369
   26.22622623    0.00248152
   26.33633634    0.00248952
   26.44644645    0.00250419
   26.55655656    0.00252113
   26.66666667    0.00253598
   26.77677678    0.00254501
