# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   15.76576577    0.00364770
   15.87587588    0.00360719
   15.98598599    0.00357004
   16.09609610    0.00353702
   16.20620621    0.00350884
   16.31631632    0.00348691
   16.42642643    0.00347363
   16.53653654    0.00347135
   16.64664665    0.00348013
   16.75675676    0.00349593
   16.86686687    0.00351030
   16.97697698    0.00351244
   17.08708709    0.00349316
   17.19719720    0.00344867
   17.30730731    0.00338206
   17.41741742    0.00330157
   17.52752753    0.00321715
   17.63763764    0.00313739
   17.74774775    0.00306800
   17.85785786    0.00301192
   17.96796797    0.00297030
   18.07807808    0.00294329
   18.18818819    0.00293033
   18.29829830    0.00292998
   18.40840841    0.00293981
   18.51851852    0.00295650
   18.62862863    0.00297619
   18.73873874    0.00299475
   18.84884885    0.00300830
   18.95895896    0.00301388
   19.06906907    0.00301023
   19.17917918    0.00299793
   19.28928929    0.00297862
   19.39939940    0.00295392
   19.50950951    0.00292505
   19.61961962    0.00289351
   19.72972973    0.00286173
   19.83983984    0.00283278
   19.94994995    0.00280907
   20.06006006    0.00279080
   20.17017017    0.00277582
   20.28028028    0.00276109
   20.39039039    0.00274499
   20.50050050    0.00272875
   20.61061061    0.00271598
   20.72072072    0.00271074
   20.83083083    0.00271564
   20.94094094    0.00273096
   21.05105105    0.00275478
   21.16116116    0.00278362
   21.27127127    0.00281322
   21.38138138    0.00283924
   21.49149149    0.00285798
   21.60160160    0.00286708
   21.71171171    0.00286620
   21.82182182    0.00285751
   21.93193193    0.00284547
   22.04204204    0.00283539
   22.15215215    0.00283163
   22.26226226    0.00283630
   22.37237237    0.00284926
   22.48248248    0.00286921
   22.59259259    0.00289513
   22.70270270    0.00292715
   22.81281281    0.00296653
   22.92292292    0.00301466
   23.03303303    0.00307175
   23.14314314    0.00313584
   23.25325325    0.00320262
   23.36336336    0.00326615
   23.47347347    0.00332004
   23.58358358    0.00335831
   23.69369369    0.00337590
   23.80380380    0.00336920
   23.91391391    0.00333744
   24.02402402    0.00328419
   24.13413413    0.00321763
   24.24424424    0.00314880
   24.35435435    0.00308866
   24.46446446    0.00304540
   24.57457457    0.00302294
   24.68468468    0.00302073
   24.79479479    0.00303436
   24.90490490    0.00305676
   25.01501502    0.00307979
   25.12512513    0.00309574
   25.23523524    0.00309864
   25.34534535    0.00308492
   25.45545546    0.00305368
   25.56556557    0.00300644
   25.67567568    0.00294662
   25.78578579    0.00287869
   25.89589590    0.00280732
   26.00600601    0.00273665
   26.11611612    0.00266976
   26.22622623    0.00260862
   26.33633634    0.00255468
   26.44644645    0.00250938
   26.55655656    0.00247406
   26.66666667    0.00244930
   26.77677678    0.00243435
   26.88688689    0.00242713
   26.99699700    0.00242493
   27.10710711    0.00242545
   27.21721722    0.00242754
   27.32732733    0.00243145
   27.43743744    0.00243835
   27.54754755    0.00244947
   27.65765766    0.00246499
   27.76776777    0.00248316
   27.87787788    0.00250000
   27.98798799    0.00251006
   28.09809810    0.00250794
   28.20820821    0.00249032
   28.31831832    0.00245714
   28.42842843    0.00241159
   28.53853854    0.00235882
   28.64864865    0.00230432
   28.75875876    0.00225277
   28.86886887    0.00220744
   28.97897898    0.00217015
   29.08908909    0.00214141
   29.19919920    0.00212044
   29.30930931    0.00210533
   29.41941942    0.00209335
   29.52952953    0.00208170
   29.63963964    0.00206831
   29.74974975    0.00205223
   29.85985986    0.00203349
   29.96996997    0.00201257
   30.08008008    0.00198997
   30.19019019    0.00196607
   30.30030030    0.00194117
   30.41041041    0.00191551
   30.52052052    0.00188910
   30.63063063    0.00186152
   30.74074074    0.00183185
   30.85085085    0.00179884
   30.96096096    0.00176143
   31.07107107    0.00171930
   31.18118118    0.00167319
