#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.560000000000000E+00  0.172452210649901E+00  0.313322793277423E-02  0.579679439574332E+01  0.105320065500143E+00
     0.570000000000000E+00  0.172396355279908E+00  0.319689838235738E-02  0.579859267252957E+01  0.107528442261213E+00
     0.580000000000000E+00  0.172339559394284E+00  0.326104368825310E-02  0.580042145864382E+01  0.109756737532576E+00
     0.590000000000000E+00  0.172281828739443E+00  0.332567812876537E-02  0.580228055954807E+01  0.112005530095884E+00
     0.600000000000000E+00  0.172223169528312E+00  0.339081630311531E-02  0.580416976305537E+01  0.114275410866722E+00
     0.610000000000000E+00  0.172163588471245E+00  0.345647313368023E-02  0.580608883812932E+01  0.116566982943124E+00
     0.620000000000000E+00  0.172103092808702E+00  0.352266386730927E-02  0.580803753361562E+01  0.118880861614645E+00
     0.630000000000000E+00  0.172041690345757E+00  0.358940407558836E-02  0.581001557690398E+01  0.121217674326840E+00
     0.640000000000000E+00  0.171979389488502E+00  0.365670965391458E-02  0.581202267251702E+01  0.123578060595361E+00
     0.650000000000000E+00  0.171916199282446E+00  0.372459681922589E-02  0.581405850062377E+01  0.125962671863393E+00
     0.660000000000000E+00  0.171852129452956E+00  0.379308210621694E-02  0.581612271547520E+01  0.128372171295497E+00
     0.670000000000000E+00  0.171787190447856E+00  0.386218236185527E-02  0.581821494375833E+01  0.130807233500259E+00
     0.680000000000000E+00  0.171721393482181E+00  0.393191473799467E-02  0.582033478286888E+01  0.133268544173559E+00
     0.690000000000001E+00  0.171654750585250E+00  0.400229668186338E-02  0.582248179909730E+01  0.135756799653289E+00
     0.700000000000001E+00  0.171587274649995E+00  0.407334592418463E-02  0.582465552573006E+01  0.138272706375855E+00
     0.710000000000001E+00  0.171518979484708E+00  0.414508046466511E-02  0.582685546106158E+01  0.140816980223619E+00
     0.720000000000001E+00  0.171449879867172E+00  0.421751855456415E-02  0.582908106631811E+01  0.143390345751781E+00
     0.730000000000001E+00  0.171379991601226E+00  0.429067867603172E-02  0.583133176349261E+01  0.145993535282126E+00
     0.740000000000001E+00  0.171309331575781E+00  0.436457951787746E-02  0.583360693309095E+01  0.148627287850070E+00
     0.750000000000001E+00  0.171237917826259E+00  0.443923994740595E-02  0.583590591179109E+01  0.151292347990421E+00
     0.760000000000001E+00  0.171165769598458E+00  0.451467897792472E-02  0.583822799001685E+01  0.153989464346136E+00
     0.770000000000001E+00  0.171092907414752E+00  0.459091573150230E-02  0.584057240943031E+01  0.156719388083295E+00
     0.780000000000001E+00  0.171019353142577E+00  0.466796939652272E-02  0.584293836034683E+01  0.159482871094297E+00
     0.790000000000001E+00  0.170945130065057E+00  0.474585917955185E-02  0.584532497907928E+01  0.162280663970185E+00
     0.800000000000001E+00  0.170870262953628E+00  0.482460425099960E-02  0.584773134521932E+01  0.165113513721843E+00
     0.810000000000001E+00  0.170794778142454E+00  0.490422368402971E-02  0.585015647886511E+01  0.167982161228608E+00
     0.820000000000001E+00  0.170718703604382E+00  0.498473638613824E-02  0.585259933780765E+01  0.170887338391841E+00
     0.830000000000001E+00  0.170642069028102E+00  0.506616102279133E-02  0.585505881469107E+01  0.173829764969937E+00
     0.840000000000001E+00  0.170564905896176E+00  0.514851593248448E-02  0.585753373416238E+01  0.176810145070273E+00
     0.850000000000001E+00  0.170487247563418E+00  0.523181903255962E-02  0.586002285003367E+01  0.179829163272965E+00
     0.860000000000001E+00  0.170409129335147E+00  0.531608771509381E-02  0.586252484247839E+01  0.182887480360500E+00
     0.870000000000001E+00  0.170330588544628E+00  0.540133873215601E-02  0.586503831529116E+01  0.185985728627133E+00
     0.880000000000001E+00  0.170251664628995E+00  0.548758806971683E-02  0.586756179324299E+01  0.189124506741785E+00
     0.890000000000001E+00  0.170172399202794E+00  0.557485080949215E-02  0.587009371956816E+01  0.192304374138436E+00
     0.900000000000001E+00  0.170092836128157E+00  0.566314097800775E-02  0.587263245362562E+01  0.195525844908880E+00
     0.910000000000001E+00  0.170013021580511E+00  0.575247138218896E-02  0.587517626878186E+01  0.198789381173834E+00
     0.920000000000001E+00  0.169933004108549E+00  0.584285343081075E-02  0.587772335056858E+01  0.202095385910373E+00
     0.930000000000001E+00  0.169852834687043E+00  0.593429694119165E-02  0.588027179517500E+01  0.205444195216274E+00
     0.940000000000001E+00  0.169772566760897E+00  0.602680993058164E-02  0.588281960834161E+01  0.208836069995378E+00
     0.950000000000001E+00  0.169692256278699E+00  0.612039839178386E-02  0.588536470472700E+01  0.212271187052359E+00
     0.960000000000001E+00  0.169611961713792E+00  0.621506605266521E-02  0.588790490782967E+01  0.215749629591116E+00
     0.970000000000000E+00  0.169531744070711E+00  0.631081411935622E-02  0.589043795055160E+01  0.219271377117597E+00
     0.980000000000000E+00  0.169451666874673E+00  0.640764100311705E-02  0.589296147649751E+01  0.222836294756085E+00
     0.990000000000000E+00  0.169371796141556E+00  0.650554203106217E-02  0.589547304211213E+01  0.226444121997737E+00
     0.100000000000000E+01  0.169292200325641E+00  0.660450914119121E-02  0.589797011976305E+01  0.230094460911486E+00
     0.101000000000000E+01  0.169212950242216E+00  0.670453056247161E-02  0.590045010188293E+01  0.233786763860484E+00
     0.102000000000000E+01  0.169134118961964E+00  0.680559048106665E-02  0.590291030628980E+01  0.237520320782292E+00
     0.103000000000000E+01  0.169055781673943E+00  0.690766869419799E-02  0.590534798280696E+01  0.241294246107812E+00
     0.104000000000000E+01  0.168978015513786E+00  0.701074025358073E-02  0.590776032130838E+01  0.245107465413006E+00
     0.105000000000000E+01  0.168900899353824E+00  0.711477510087031E-02  0.591014446131099E+01  0.248958701917829E+00
     0.106000000000000E+01  0.168824513551664E+00  0.721973769811434E-02  0.591249750323728E+01  0.252846462969763E+00
     0.107000000000000E+01  0.168748939653941E+00  0.732558665680594E-02  0.591481652146200E+01  0.256769026673202E+00
     0.108000000000000E+01  0.168674260052040E+00  0.743227436978427E-02  0.591709857924939E+01  0.260724428851646E+00
     0.109000000000000E+01  0.168600557586827E+00  0.753974665091576E-02  0.591934074567338E+01  0.264710450556108E+00
     0.110000000000000E+01  0.168527915099778E+00  0.764794238820588E-02  0.592154011459421E+01  0.268724606360042E+00
     0.111000000000000E+01  0.168456414928379E+00  0.775679321672177E-02  0.592369382574210E+01  0.272764133707751E+00
     0.112000000000000E+01  0.168386138344218E+00  0.786622321843594E-02  0.592579908793029E+01  0.276825983609027E+00
