2S: AE PS AE-PS   2P: AE PS AE-PS
2.00 -1.75770 	 -1.75768 	 -0.00002 	 -0.66426 	 -0.66424 	 -0.00002
1.80 -1.97402 	 -1.97409 	 0.00006 	 -0.87413 	 -0.87428 	 0.00015
1.60 -2.19935 	 -2.19960 	 0.00025 	 -1.09395 	 -1.09433 	 0.00038
1.40 -2.43276 	 -2.43330 	 0.00054 	 -1.32283 	 -1.32352 	 0.00069
1.20 -2.67357 	 -2.67453 	 0.00096 	 -1.56009 	 -1.56118 	 0.00109
1.00 -2.92121 	 -2.92273 	 0.00153 	 -1.80519 	 -1.80677 	 0.00158
.80 -3.17524 	 -3.17749 	 0.00226 	 -2.05768 	 -2.05987 	 0.00219
.60 -3.43526 	 -3.43844 	 0.00318 	 -2.31718 	 -2.32010 	 0.00293
.40 -3.70093 	 -3.70525 	 0.00433 	 -2.58333 	 -2.58716 	 0.00383
.20 -3.97192 	 -3.97766 	 0.00574 	 -2.85584 	 -2.86076 	 0.00491
0 -4.24795 	 -4.25541 	 0.00746 	 -3.13442 	 -3.14064 	 0.00622
