2S: AE PS AE-PS   2P: AE PS AE-PS
2.00 -1.75770 	 -1.75768 	 -0.00002 	 -0.66426 	 -0.66424 	 -0.00002
1.80 -1.97402 	 -1.97408 	 0.00006 	 -0.87413 	 -0.87428 	 0.00015
1.60 -2.19935 	 -2.19959 	 0.00024 	 -1.09395 	 -1.09434 	 0.00039
1.40 -2.43276 	 -2.43330 	 0.00054 	 -1.32283 	 -1.32353 	 0.00071
1.20 -2.67357 	 -2.67453 	 0.00097 	 -1.56009 	 -1.56120 	 0.00111
1.00 -2.92121 	 -2.92276 	 0.00155 	 -1.80519 	 -1.80681 	 0.00162
.80 -3.17524 	 -3.17756 	 0.00232 	 -2.05768 	 -2.05994 	 0.00226
.60 -3.43526 	 -3.43856 	 0.00330 	 -2.31718 	 -2.32022 	 0.00304
.40 -3.70093 	 -3.70546 	 0.00453 	 -2.58333 	 -2.58733 	 0.00400
.20 -3.97192 	 -3.97799 	 0.00606 	 -2.85584 	 -2.86101 	 0.00516
0 -4.24795 	 -4.25590 	 0.00795 	 -3.13442 	 -3.14100 	 0.00658
