2S: AE PS AE-PS   2P: AE PS AE-PS
2.00 -1.75770 	 -1.75768 	 -0.00002 	 -0.66426 	 -0.66425 	 -0.00002
1.80 -1.97402 	 -1.97478 	 0.00076 	 -0.87413 	 -0.87451 	 0.00038
1.60 -2.19935 	 -2.20119 	 0.00184 	 -1.09395 	 -1.09489 	 0.00094
1.40 -2.43276 	 -2.43602 	 0.00325 	 -1.32283 	 -1.32451 	 0.00169
1.20 -2.67357 	 -2.67858 	 0.00502 	 -1.56009 	 -1.56271 	 0.00262
1.00 -2.92121 	 -2.92837 	 0.00716 	 -1.80519 	 -1.80896 	 0.00377
.80 -3.17524 	 -3.18497 	 0.00973 	 -2.05768 	 -2.06283 	 0.00515
.60 -3.43526 	 -3.44802 	 0.01276 	 -2.31718 	 -2.32395 	 0.00678
.40 -3.70093 	 -3.71723 	 0.01630 	 -2.58333 	 -2.59202 	 0.00869
.20 -3.97192 	 -3.99233 	 0.02040 	 -2.85584 	 -2.86675 	 0.01091
0 -4.24795 	 -4.27308 	 0.02513 	 -3.13442 	 -3.14791 	 0.01349
