2S: AE PS AE-PS   2P: AE PS AE-PS
2.00 -1.75770 	 -1.75769 	 -0.00001 	 -0.66426 	 -0.66425 	 -0.00001
1.80 -1.97402 	 -1.97482 	 0.00079 	 -0.87413 	 -0.87453 	 0.00040
1.60 -2.19935 	 -2.20127 	 0.00192 	 -1.09395 	 -1.09494 	 0.00100
1.40 -2.43276 	 -2.43616 	 0.00340 	 -1.32283 	 -1.32462 	 0.00179
1.20 -2.67357 	 -2.67883 	 0.00527 	 -1.56009 	 -1.56290 	 0.00281
1.00 -2.92121 	 -2.92878 	 0.00757 	 -1.80519 	 -1.80927 	 0.00408
.80 -3.17524 	 -3.18560 	 0.01036 	 -2.05768 	 -2.06332 	 0.00564
.60 -3.43526 	 -3.44895 	 0.01369 	 -2.31718 	 -2.32468 	 0.00750
.40 -3.70093 	 -3.71856 	 0.01764 	 -2.58333 	 -2.59307 	 0.00973
.20 -3.97192 	 -3.99419 	 0.02227 	 -2.85584 	 -2.86822 	 0.01238
0 -4.24795 	 -4.27563 	 0.02768 	 -3.13442 	 -3.14992 	 0.01550
