#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.560000000000000E+01  -.727385351658065E-01  0.128188423584933E+00  -.334843151753217E+01  0.590100084825915E+01
     0.570000000000000E+01  -.760656367504517E-01  0.130553420345735E+00  -.333180237232453E+01  0.571845861292180E+01
     0.580000000000000E+01  -.795659799609858E-01  0.132985490421288E+00  -.331305622141356E+01  0.553739684490806E+01
     0.590000000000000E+01  -.831940659054884E-01  0.135434797512659E+00  -.329300992458283E+01  0.536081663384157E+01
     0.600000000000000E+01  -.869421566416995E-01  0.137828572409913E+00  -.327396029209492E+01  0.519017805189521E+01
     0.610000000000000E+01  -.908474971463824E-01  0.140088816727297E+00  -.325873545013519E+01  0.502504094858173E+01
     0.619999999999999E+01  -.949922653799053E-01  0.142151989688832E+00  -.324974101741015E+01  0.486310279843042E+01
     0.629999999999999E+01  -.994953846016564E-01  0.143987575781860E+00  -.324811259932862E+01  0.470059853445761E+01
     0.639999999999999E+01  -.104497074375147E+00  0.145611783917925E+00  -.325308744781350E+01  0.453302515261416E+01
     0.649999999999999E+01  -.110139166647247E+00  0.147093330335994E+00  -.326173166468499E+01  0.435611588343966E+01
     0.659999999999999E+01  -.116545606835466E+00  0.148550380651612E+00  -.326915285623031E+01  0.416690010363850E+01
     0.669999999999999E+01  -.123807297958124E+00  0.150140387040443E+00  -.326923808649937E+01  0.396458593095532E+01
     0.679999999999999E+01  -.131973580126118E+00  0.152046455221183E+00  -.325578118829636E+01  0.375097794712552E+01
     0.689999999999999E+01  -.141050132114554E+00  0.154464188848578E+00  -.322368430561208E+01  0.353026100653246E+01
     0.699999999999999E+01  -.151001094031505E+00  0.157591805517859E+00  -.316986071712286E+01  0.330821492953753E+01
     0.709999999999999E+01  -.161752367234481E+00  0.161624481067212E+00  -.309358978479740E+01  0.309114390194917E+01
     0.719999999999999E+01  -.173193269046779E+00  0.166752159892832E+00  -.299630974596931E+01  0.288487609592595E+01
     0.729999999999999E+01  -.185174544667627E+00  0.173158855202206E+00  -.288103578169561E+01  0.269408983103184E+01
     0.739999999999999E+01  -.197501758827141E+00  0.181020702646374E+00  -.275166213025410E+01  0.252204241229048E+01
     0.749999999999999E+01  -.209924200154725E+00  0.190499469392620E+00  -.261235510561511E+01  0.237062835593983E+01
     0.759999999999999E+01  -.222120868137747E+00  0.201727686239292E+00  -.246713958294726E+01  0.224062855448900E+01
     0.769999999999999E+01  -.233687356449128E+00  0.214781234430450E+00  -.231969024494893E+01  0.213201921523241E+01
     0.779999999999999E+01  -.244130979863480E+00  0.229635871270714E+00  -.217328761089901E+01  0.204425015755773E+01
     0.789999999999999E+01  -.252886229324918E+00  0.246107471131748E+00  -.203088302604813E+01  0.197644405960482E+01
     0.799999999999999E+01  -.259366785235671E+00  0.263784007833149E+00  -.189521994351730E+01  0.192749704620833E+01
     0.810000000000000E+01  -.263068903783110E+00  0.281971837464096E+00  -.176896611358534E+01  0.189607596445766E+01
     0.820000000000000E+01  -.263726028142244E+00  0.299695817643604E+00  -.165481383727846E+01  0.188051512967703E+01
     0.830000000000000E+01  -.261480899899884E+00  0.315798272047217E+00  -.155550053839209E+01  0.187862433692411E+01
     0.840000000000000E+01  -.257000539647672E+00  0.329154756236007E+00  -.147369344175233E+01  0.188744041647379E+01
     0.849999999999999E+01  -.251447055153329E+00  0.338958746600557E+00  -.141168288831007E+01  0.190299409999951E+01
     0.859999999999999E+01  -.246269831811598E+00  0.344959660965826E+00  -.137086177755319E+01  0.192021901561020E+01
     0.869999999999999E+01  -.242886442070616E+00  0.347535796097600E+00  -.135105829592708E+01  0.193317138843333E+01
     0.879999999999999E+01  -.242390780676587E+00  0.347569483748405E+00  -.134993150552305E+01  0.193569654407105E+01
     0.889999999999999E+01  -.245402407041063E+00  0.346200944569214E+00  -.136276045076392E+01  0.192251152286820E+01
     0.899999999999999E+01  -.252077876381766E+00  0.344581511697406E+00  -.138291818774281E+01  0.189040008796553E+01
     0.909999999999999E+01  -.262225719021819E+00  0.343709388826801E+00  -.140303832695269E+01  0.183901658333278E+01
     0.919999999999999E+01  -.275447836793371E+00  0.344364830499640E+00  -.141648541038084E+01  0.177088977691601E+01
     0.929999999999999E+01  -.291255603340970E+00  0.347117756095485E+00  -.141854083672859E+01  0.169061369644652E+01
     0.939999999999999E+01  -.309142798555069E+00  0.352370566222721E+00  -.140689377342855E+01  0.160362123224400E+01
     0.949999999999999E+01  -.328619232720538E+00  0.360408032375217E+00  -.138142318548545E+01  0.151505439300236E+01
     0.959999999999999E+01  -.349216771944718E+00  0.371439080523325E+00  -.134355822119122E+01  0.142905516115309E+01
     0.969999999999999E+01  -.370479273759929E+00  0.385624741497003E+00  -.129555723206788E+01  0.134852057347340E+01
     0.979999999999999E+01  -.391945066191424E+00  0.403091482127151E+00  -.123992567510109E+01  0.127518757401555E+01
     0.989999999999999E+01  -.413127892621297E+00  0.423930987409175E+00  -.117904441371651E+01  0.120987585547582E+01
     0.999999999999999E+01  -.433500613040062E+00  0.448187858085981E+00  -.111498465662253E+01  0.115276096507897E+01
     0.101000000000000E+02  -.452485373811703E+00  0.475836763680612E+00  -.104945160651423E+01  0.110361060265112E+01
     0.102000000000000E+02  -.469454054406546E+00  0.506751026427054E+00  -.983801505828982E+00  0.106196212004079E+01
     0.103000000000000E+02  -.483743060458959E+00  0.540665762992592E+00  -.919092559839084E+00  0.102724342888712E+01
     0.104000000000000E+02  -.494686359005556E+00  0.577140677268310E+00  -.856146176067637E+00  0.998848613674427E+00
     0.105000000000000E+02  -.501669377062272E+00  0.615530174194575E+00  -.795606577979423E+00  0.976180484449292E+00
     0.106000000000000E+02  -.504203379979866E+00  0.654971028431737E+00  -.737993859537708E+00  0.958669886697351E+00
     0.107000000000000E+02  -.502014879569371E+00  0.694399260495943E+00  -.683749032487798E+00  0.945778385954662E+00
     0.108000000000000E+02  -.495137880275036E+00  0.732606591366607E+00  -.633270730850537E+00  0.936988119921155E+00
     0.109000000000000E+02  -.483989920315108E+00  0.768341342495407E+00  -.586942825221353E+00  0.931780641227012E+00
     0.110000000000000E+02  -.469408806078143E+00  0.800448382109487E+00  -.545150843301934E+00  0.929605718675019E+00
     0.111000000000000E+02  -.452629227446415E+00  0.828029356113751E+00  -.508283282509636E+00  0.929841586930361E+00
     0.112000000000000E+02  -.435189412429620E+00  0.850592511225024E+00  -.476712269147053E+00  0.931750347237935E+00
     0.113000000000000E+02  -.418776268217489E+00  0.868157172548042E+00  -.450747597391254E+00  0.934436331241160E+00
     0.114000000000000E+02  -.405036841001646E+00  0.881285970438733E+00  -.430560554978372E+00  0.936820896559412E+00
     0.115000000000000E+02  -.395395526488310E+00  0.891037252572235E+00  -.416080989626146E+00  0.937652646545507E+00
     0.116000000000000E+02  -.390913948796891E+00  0.898853246993205E+00  -.406883781187551E+00  0.935573695937176E+00
     0.117000000000000E+02  -.392214549879361E+00  0.906416230921511E+00  -.402097034737710E+00  0.929254865235814E+00
     0.118000000000000E+02  -.399467302710937E+00  0.915508514667055E+00  -.400376170084471E+00  0.917591478187539E+00
     0.119000000000000E+02  -.412421026158668E+00  0.927902940755234E+00  -.399983549572238E+00  0.899919956454908E+00
     0.120000000000000E+02  -.430452273667016E+00  0.945294857655360E+00  -.398983810925928E+00  0.876188529666765E+00
     0.121000000000000E+02  -.452605776771948E+00  0.969271036181728E+00  -.395517448477013E+00  0.847014392629882E+00
     0.122000000000000E+02  -.477607414614603E+00  0.100129970588065E+01  -.388074718287911E+00  0.813595202651866E+00
     0.123000000000000E+02  -.503839916522271E+00  0.104271905735280E+01  -.375686577515456E+00  0.777500037454260E+00
     0.124000000000000E+02  -.529281418729217E+00  0.109469732947669E+01  -.357985145794125E+00  0.740410241557419E+00
     0.125000000000000E+02  -.551418846584343E+00  0.115813434432453E+01  -.335140183233209E+00  0.703888448445017E+00
     0.126000000000000E+02  -.567165315234989E+00  0.123347293652967E+01  -.307718232553431E+00  0.669226593615194E+00
     0.127000000000000E+02  -.572836992877508E+00  0.132039481081384E+01  -.276521157587068E+00  0.637383943596454E+00
     0.128000000000000E+02  -.564279483575668E+00  0.141740132307430E+01  -.242446639117752E+00  0.608996422983254E+00
     0.129000000000000E+02  -.537262781959394E+00  0.152134294368725E+01  -.206390620530071E+00  0.584427071314216E+00
     0.130000000000000E+02  -.488248607098875E+00  0.162707090051941E+01  -.169193177928747E+00  0.563830172522167E+00
     0.131000000000000E+02  -.415513345964516E+00  0.172750838221331E+01  -.131619162822415E+00  0.547210358569413E+00
     0.132000000000000E+02  -.320349691749618E+00  0.181446509372432E+01  -.943618321331026E-01  0.534466724941347E+00
     0.133000000000000E+02  -.207770288142287E+00  0.188028749314165E+01  -.580582941325832E-01  0.525418168818611E+00
     0.134000000000000E+02  -.860854474762862E-01  0.191992086566317E+01  -.233072392524320E-01  0.519809750353849E+00
     0.135000000000000E+02  0.348143510980826E-01  0.193247951242982E+01  0.931939198351760E-02  0.517302017944042E+00
     0.136000000000000E+02  0.145857864550644E+00  0.192149191144128E+01  0.392787314465848E-01  0.517447345049272E+00
     0.137000000000000E+02  0.240807227093233E+00  0.189371146672350E+01  0.660808327817256E-01  0.519660611020375E+00
     0.138000000000000E+02  0.317125964947410E+00  0.185717624868686E+01  0.893394997074373E-01  0.523196506327491E+00
     0.139000000000000E+02  0.375683947747741E+00  0.181941534592314E+01  0.108849391761275E+00  0.527151226322403E+00
     0.140000000000000E+02  0.419810342614136E+00  0.178632227679011E+01  0.124676834965538E+00  0.530508625184894E+00
     0.141000000000000E+02  0.454247443357027E+00  0.176171210347070E+01  0.137236109564237E+00  0.532244085879253E+00
     0.142000000000000E+02  0.484306327290383E+00  0.174730490343183E+01  0.147311821194334E+00  0.531479051587944E+00
     0.143000000000000E+02  0.515259637891547E+00  0.174286582417331E+01  0.155993984061638E+00  0.527649681062134E+00
     0.144000000000000E+02  0.551858174710355E+00  0.174635459157166E+01  0.164522516718777E+00  0.520631324596322E+00
     0.145000000000000E+02  0.597831435701954E+00  0.175408641395415E+01  0.174080624377634E+00  0.510766814720821E+00
     0.146000000000000E+02  0.655301515824374E+00  0.176102646887050E+01  0.185604472174779E+00  0.498784727865825E+00
     0.147000000000000E+02  0.724183509895951E+00  0.176138877269806E+01  0.199668335946784E+00  0.485641498866082E+00
     0.148000000000000E+02  0.801816382803035E+00  0.174963140935331E+01  0.216466117093404E+00  0.472347442195387E+00
     0.149000000000000E+02  0.883150882748289E+00  0.172170967377681E+01  0.235869217155549E+00  0.459828915823679E+00
     0.150000000000000E+02  0.961674901951454E+00  0.167616962224249E+01  0.257520451388151E+00  0.448850185075103E+00
     0.151000000000000E+02  0.103088020776663E+01  0.161457510201683E+01  0.280926952525341E+00  0.439990660035601E+00
     0.152000000000000E+02  0.108571872124541E+01  0.154102814469457E+01  0.305530480778996E+00  0.433658424349924E+00
     0.153000000000000E+02  0.112347825595275E+01  0.146101532892496E+01  0.330749072262917E+00  0.430119107373406E+00
     0.154000000000000E+02  0.114385621165952E+01  0.138011874479603E+01  0.355993846825839E+00  0.429524074816697E+00
     0.155000000000000E+02  0.114842393519675E+01  0.130306503355194E+01  0.380669123378181E+00  0.431928148503798E+00
     0.156000000000000E+02  0.113986180818021E+01  0.123328926538130E+01  0.404165131125069E+00  0.437292059511805E+00
     0.157000000000000E+02  0.112127681721810E+01  0.117292521627169E+01  0.425852760003087E+00  0.445468445397603E+00
     0.158000000000000E+02  0.109574272289253E+01  0.112302854131893E+01  0.445090013889884E+00  0.456173496397842E+00
     0.159000000000000E+02  0.106606409951050E+01  0.108386271258163E+01  0.461249807666994E+00  0.468950664359916E+00
     0.160000000000000E+02  0.103470101001650E+01  0.105514716767838E+01  0.473776840239409E+00  0.483138883842640E+00
     0.161000000000000E+02  0.100378129974089E+01  0.103622863937952E+01  0.482274915653188E+00  0.497864504731436E+00
     0.162000000000000E+02  0.975141475995199E+00  0.102617449823322E+01  0.486613326513622E+00  0.512079732491216E+00
     0.163000000000000E+02  0.950355363978073E+00  0.102380602965631E+01  0.487023529933060E+00  0.524664399686044E+00
     0.164000000000000E+02  0.930725657799248E+00  0.102769905095492E+01  0.484143835974767E+00  0.534587347611582E+00
     0.165000000000000E+02  0.917228293150520E+00  0.103618502445146E+01  0.478973602905644E+00  0.541092417388984E+00
     0.166000000000000E+02  0.910416779849717E+00  0.104738826822473E+01  0.472727457371178E+00  0.543848931475110E+00
     0.167000000000000E+02  0.910314484505721E+00  0.105932955291056E+01  0.466624166627799E+00  0.543008793361655E+00
     0.168000000000000E+02  0.916342397123160E+00  0.107010734226584E+01  0.461676916200791E+00  0.539147658486781E+00
     0.169000000000000E+02  0.927336313540755E+00  0.107813444357773E+01  0.458549252961269E+00  0.533115911105377E+00
     0.170000000000000E+02  0.941688303752312E+00  0.108237113152211E+01  0.457506882022162E+00  0.525855784340006E+00
     0.171000000000000E+02  0.957602691942464E+00  0.108247771674315E+01  0.458454905710732E+00  0.518239165093394E+00
     0.172000000000000E+02  0.973406527517452E+00  0.107882771006745E+01  0.461026508582702E+00  0.510956274151091E+00
     0.173000000000000E+02  0.987828778097097E+00  0.107237256371881E+01  0.464688150709033E+00  0.504458702312292E+00
     0.174000000000000E+02  0.100017753861460E+01  0.106440236180652E+01  0.468838899325784E+00  0.498944649807246E+00
     0.175000000000000E+02  0.101038862205504E+01  0.105627363282089E+01  0.472895732315681E+00  0.494371454918632E+00
     0.176000000000000E+02  0.101896310670343E+01  0.104916669909685E+01  0.476365443425235E+00  0.490485628531908E+00
     0.177000000000000E+02  0.102683356640828E+01  0.104390528334249E+01  0.478905552749187E+00  0.486867641545479E+00
     0.178000000000000E+02  0.103519596550466E+01  0.104084249362538E+01  0.480372972369797E+00  0.482993190750959E+00
     0.179000000000000E+02  0.104532806154606E+01  0.103980357403813E+01  0.480853300428674E+00  0.478312023532848E+00
     0.180000000000000E+02  0.105839994109453E+01  0.104007841149053E+01  0.480659700554187E+00  0.472339196563940E+00
     0.181000000000000E+02  0.107527790827260E+01  0.104046893210083E+01  0.480292470535971E+00  0.464744407069083E+00
     0.182000000000000E+02  0.109633293000252E+01  0.103940769319439E+01  0.480360201004626E+00  0.455418308403328E+00
     0.183000000000000E+02  0.112128573384669E+01  0.103516277846334E+01  0.481477458516737E+00  0.444496463908277E+00
     0.184000000000000E+02  0.114914050279854E+01  0.102612229006036E+01  0.484164440617146E+00  0.432333490432160E+00
     0.185000000000000E+02  0.117825929311230E+01  0.101111185274465E+01  0.488774037956355E+00  0.419436728384397E+00
     0.186000000000000E+02  0.120659532294049E+01  0.989660337322867E+00  0.495460679991651E+00  0.406381306448125E+00
