    111  0.805488E-02  0.106098130290E-02 -0.948294217455E-03 -0.483882384277E-02  0.110484852959E-02  0.506028671257E-03 -0.397661979069E-02 -0.138106066198E-03 -0.632535839071E-04  0.497077473837E-03
    114  0.827258E-02  0.110833319949E-02 -0.761610658196E-03 -0.482348180042E-02  0.138294387496E-02  0.901687190345E-03 -0.463252464532E-02 -0.172867984370E-03 -0.112710898793E-03  0.579065580665E-03
    117  0.849028E-02  0.106529038415E-02 -0.681439532304E-03 -0.447532101913E-02  0.160345091741E-02  0.118544909822E-02 -0.516216031733E-02 -0.200431364676E-03 -0.148181137277E-03  0.645270039666E-03
    120  0.870798E-02  0.105292811591E-02 -0.484447249343E-03 -0.374014393915E-02  0.185315863625E-02  0.154995396422E-02 -0.551552610933E-02 -0.231644829532E-03 -0.193744245527E-03  0.689440763666E-03
    123  0.892568E-02  0.103383735400E-02 -0.325362203024E-03 -0.279804800103E-02  0.208429533228E-02  0.187912078933E-02 -0.571059557542E-02 -0.260536916535E-03 -0.234890098666E-03  0.713824446927E-03
    126  0.914338E-02  0.903370325558E-03 -0.280675910405E-03 -0.178356895372E-02  0.220447942427E-02  0.206254817044E-02 -0.572652934298E-02 -0.275559928034E-03 -0.257818521305E-03  0.715816167873E-03
    129  0.936108E-02  0.702295331219E-03 -0.239323126748E-03 -0.890245788188E-03  0.226429985685E-02  0.222767372521E-02 -0.567345326193E-02 -0.283037482107E-03 -0.278459215652E-03  0.709181657741E-03
    132  0.957878E-02  0.490435101473E-03 -0.187834267847E-03 -0.146937817761E-03  0.229403133030E-02  0.239892678136E-02 -0.556692100610E-02 -0.286753916287E-03 -0.299865847670E-03  0.695865125762E-03
    135  0.979648E-02  0.322066868282E-03 -0.219515139760E-03  0.459232989931E-03  0.228594489374E-02  0.247926554274E-02 -0.535230049192E-02 -0.285743111718E-03 -0.309908192842E-03  0.669037561490E-03
    138  0.100142E-01  0.187492025255E-03 -0.276165820257E-03  0.909840029013E-03  0.224381686488E-02  0.249782898386E-02 -0.507604368114E-02 -0.280477108110E-03 -0.312228622982E-03  0.634505460143E-03
    141  0.102319E-01  0.498734136531E-04 -0.298285831903E-03  0.119006118074E-02  0.216571054201E-02  0.250280869520E-02 -0.478096489241E-02 -0.270713817752E-03 -0.312851086900E-03  0.597620611552E-03
    144  0.104496E-01 -0.306092950814E-04 -0.305982491585E-03  0.130841568539E-02  0.206368127752E-02  0.245365426030E-02 -0.445024814491E-02 -0.257960159690E-03 -0.306706782538E-03  0.556281018114E-03
    147  0.106673E-01 -0.655005480383E-04 -0.322764275218E-03  0.131196996821E-02  0.194649306417E-02  0.235332672221E-02 -0.409077404931E-02 -0.243311633021E-03 -0.294165840276E-03  0.511346756164E-03
    150  0.108850E-01 -0.903644839869E-04 -0.306498772713E-03  0.119800387718E-02  0.180320665593E-02  0.223605031956E-02 -0.372217607210E-02 -0.225400831991E-03 -0.279506289945E-03  0.465272009012E-03
    153  0.111027E-01 -0.864331410420E-04 -0.259450229812E-03  0.993500577777E-03  0.164493430279E-02  0.209142204387E-02 -0.334274271562E-02 -0.205616787848E-03 -0.261427755484E-03  0.417842839452E-03
    156  0.113204E-01 -0.334184818494E-04 -0.199749743388E-03  0.726148117128E-03  0.148563290193E-02  0.191416286729E-02 -0.295213408617E-02 -0.185704112741E-03 -0.239270358411E-03  0.369016760772E-03
    159  0.115381E-01  0.376811849218E-04 -0.109398080080E-03  0.396770401714E-03  0.131274297963E-02  0.171842795005E-02 -0.255699385189E-02 -0.164092872454E-03 -0.214803493757E-03  0.319624231486E-03
    162  0.117558E-01  0.109624169519E-03 -0.634531439179E-05  0.358664860042E-04  0.112555564320E-02  0.150545534841E-02 -0.215677727272E-02 -0.140694455400E-03 -0.188181918552E-03  0.269597159090E-03
    165  0.119735E-01  0.207361567984E-03  0.122398435932E-03 -0.341801765172E-03  0.937299255271E-03  0.127679968612E-02 -0.174954566399E-02 -0.117162406909E-03 -0.159599960764E-03  0.218693207999E-03
    168  0.121912E-01  0.312990479053E-03  0.271576660103E-03 -0.727411100783E-03  0.744157953828E-03  0.104187859454E-02 -0.134087694801E-02 -0.930197442285E-04 -0.130234824317E-03  0.167609618501E-03
    171  0.124089E-01  0.404637150809E-03  0.417025088148E-03 -0.112420060921E-02  0.540671553418E-03  0.802367043830E-03 -0.934241679543E-03 -0.675839441773E-04 -0.100295880479E-03  0.116780209943E-03
    174  0.126266E-01  0.508550047419E-03  0.581899193034E-03 -0.152322531112E-02  0.335454267713E-03  0.556138392423E-03 -0.527194596512E-03 -0.419317834642E-04 -0.695172990528E-04  0.658993245640E-04
    177  0.128443E-01  0.628516715274E-03  0.738540823858E-03 -0.194006668084E-02  0.133702420324E-03  0.305547498465E-03 -0.119625732917E-03 -0.167128025405E-04 -0.381934373081E-04  0.149532166147E-04
    180  0.130620E-01  0.734786405622E-03  0.887661749807E-03 -0.230306142802E-02 -0.669312237859E-04  0.553478980465E-04  0.286507861846E-03  0.836640297322E-05 -0.691848725580E-05 -0.358134827307E-04
    183  0.132797E-01  0.839019001659E-03  0.104590659644E-02 -0.263089943524E-02 -0.266105487685E-03 -0.190060655477E-03  0.691239094157E-03  0.332631859607E-04  0.237575819346E-04 -0.864048867696E-04
    186  0.134974E-01  0.932601528844E-03  0.116192121270E-02 -0.296310946327E-02 -0.462951103203E-03 -0.428630807178E-03  0.109372784304E-02  0.578688879004E-04  0.535788508972E-04 -0.136715980380E-03
